,Tweet,tags,Processed_Tweets,Tweets_Adjectives,Tweets_Sentiment,Subjectivity,Polarity,Sentiment
35,"b'people can suffer from vomiting, diarrhea, nausea, and stomach pain. some may also develop fever, headache, and bod... https://t.co/waituyt0ft'",fever,b'people suffer vomiting diarrhea nausea stomach pain may also develop fever headache bod ...,,people suffer vomiting diarrhea nausea stomach pain may also develop fever headache bod ...,0.0,0.0,Neutral
36,"b'people can suffer from vomiting, diarrhea, nausea, and stomach pain. some may also develop fever, headache, and bod... https://t.co/171kzlufvq'",fever,b'people suffer vomiting diarrhea nausea stomach pain may also develop fever headache bod ...,,people suffer vomiting diarrhea nausea stomach pain may also develop fever headache bod ...,0.0,0.0,Neutral
37,"b'@rubycrabtree you do need to get back in touch with them..  pain fever, chills, pressure, swelling, redness and hea... https://t.co/l3jzuhmmjw'",fever,b need get back touch .. pain fever chills pressure swelling redness hea ...,touch,need get back touch .. pain fever chill pressure swelling redness hea ...,0.0,0.0,Neutral
38,"b'what the fuck sort of illness randomly shows up after taking an afternoon nap and gives me nausea, fever, a headach... https://t.co/pldxl5fgfk'",fever,b'what fuck sort illness randomly shows taking afternoon nap gives nausea fever headach ...,fuck nap,what fuck soillness randomly show taking afternoon nap give nausea fever headach ...,0.55,-0.45,Negative
39,b'its not the fever but the nausea that makes this whole thing worse... https://t.co/xgxbsjmowj',fever,b'its fever nausea makes whole thing worse ...,whole,its fever nausea make whole thing worse ...,0.5,-0.1,Negative
40,"b'physical health:\nfever, joints and muscle pain, nausea, fatigue, cold\ncure:\nkr$na'",fever,b'physical health \nfever joints muscle pain nausea fatigue cold\ncure \nkr na,physical nausea,physical health \nfever joint muscle pain nausea fatigue cold\ncure \nkr na,0.14285714285714285,0.0,Neutral
41,"b'i am sickening (chills, fever, nausea, headaches) https://t.co/vpj8ulk91u'",fever,b sickening chills fever nausea headaches,,sickening chill fever nausea headache,1.0,-0.9,Negative
42,b'seem to have a fever today.\n\nno nausea at least but the sweating and shaking is pretty bad. throat is improving',fever,b'seem fever today.\n\nno nausea least sweating shaking pretty bad throat improving,bad,seem fever today.\n\nno nausea least sweating shaking pretty bad throat improving,0.6888888888888888,-0.24999999999999992,Negative
43,b'diarrhea diagnosis and treatment.\n\nsymptoms:\n\nabdominal pain\nfever\nnausea\nvomiting\n\nbook an appointment today... https://t.co/eujsavuyc8',fever,b'diarrhea diagnosis treatment.\n\nsymptoms \n\nabdominal pain\nfever\nnausea\nvomiting\n\nbook appointment today ...,diarrhea   abdominal,diarrhea diagnosis treatment.\n\nsymptoms \n\nabdominal pain\nfever\nnausea\nvomiting\n\nbook appointment today ...,0.0,0.0,Neutral
44,"b'#kidneystones associated symptoms include: nausea, vomiting, fever, blood in the urine, pus in the urine, and painful urination.'",fever,b'kidneystones associated symptoms include nausea vomiting fever blood urine pus urine painful urination,nausea urine urine painful,kidneystones associated symptom include nausea vomiting fever blood urine pu urine painful urination,0.9,-0.7,Negative
45,"b' body aches, fever, cough, nausea, phlegm and shivers. '",fever,b body aches fever cough nausea phlegm shivers,cough,body ache fever cough nausea phlegm shiver,0.0,0.0,Neutral
46,"b'@xclarisuh yup its a virus going around  throwing up,diarrhea,nausea??? possible fever??'",fever,b yup virus going around throwing diarrhea nausea possible fever,possible,yup virus going around throwing diarrhea nausea possible fever,1.0,0.0,Neutral
47,"b'@frederickleath5 @healthbyjames i did not get "" the shots."" tested positive sept 1, 2022. only 3 symptoms: fever, n... https://t.co/fsq31wqain'",fever,b get `` shots '' tested positive sept symptoms fever n ...,positive,get `` shot `` tested positive sept symptom fever n ...,0.5454545454545454,0.22727272727272727,Positive
48,b'early symptoms of hiv can include:\n-fever\n-chills\n-swollen lymph nodes\n-general aches and pains\n-skin rash\n-sore th... https://t.co/6gn1i6sryu',fever,b'early symptoms hiv include \n-fever\n-chills\n-swollen lymph nodes\n-general aches pains\n-skin rash\n-sore th ..., fever chills swollen lymph nodes general pains skin rash sore,early symptom hiv include \n-fever\n-chills\n-swollen lymph nodes\n-general ache pains\n-skin rash\n-sore th ...,0.3,0.1,Positive
49,b'just got done and am wait for medic transport to take me back home. already feeling the chemo fever and nausea. whi... https://t.co/ihbl828mqe',fever,b'just got done wait medic transport take back home already feeling chemo fever nausea whi ...,medic,just got done wait medic transpotake back home already feeling chemo fever nausea whi ...,0.0,0.0,Neutral
50,"b""@steviewildcard there's a 2 day bug going around my house. sore throat, fever, and nausea. i'm sure i'm next """,fever,b '' 's day bug going around house sore throat fever nausea 'm sure 'm next ``,sure next,`` 's day bug going around house sore throat fever nausea 'm sure 'm next ``,0.4444444444444444,0.25,Positive
51,b'the initial symptoms of low to moderate carbon monoxide (co) poisoning are similar to the flu but without the fever... https://t.co/k2ihw39f9g',fever,b'the initial symptoms low moderate carbon monoxide co poisoning similar flu without fever ...,the initial low moderate similar,the initial symptom low moderate carbon monoxide co poisoning similar flu without fever ...,0.35,0.0,Neutral
52,"b'im so confuse w/ my body. i been feeling sick on &amp; off since the weekend. but no running fevers, just body aches,... https://t.co/ewvqh7lmto'",fever,b'im confuse w/ body feeling sick amp since weekend running fevers body aches ...,sick,im confuse w/ body feeling sick amp since weekend running fever body ache ...,0.8571428571428571,-0.7142857142857143,Negative
53,b'rt @jithinmarottik: @starhealthins @irdaindia generic back ache considered as pre existing n claims denied. tmrw any symptoms like fever an...',fever,b'rt generic back ache considered pre existing n claims denied tmrw symptoms like fever ...,generic pre n tmrw, generic back ache considered pre existing n claim denied tmrw symptom like fever ...,0.0,0.0,Neutral
54,"b'-fever:\n\nthe pain, the nausea and vomiting can result into fever and its accompanied by headaches and delirium.\n\ny... https://t.co/yinqhn7o0m'",fever,b'-fever \n\nthe pain nausea vomiting result fever accompanied headaches delirium.\n\ny ...,,-fever \n\nthe pain nausea vomiting result fever accompanied headache delirium.\n\ny ...,0.0,0.0,Neutral
55,"b'@nkaty2012 @mateboho_ml nna my withdrawal symptoms are intense.\nnausea, fever, dizziness '",fever,b nna withdrawal symptoms intense.\nnausea fever dizziness,,nna withdrawal symptom intense.\nnausea fever dizziness,0.0,0.0,Neutral
56,"b'a bit more about the virus:\n\nsymptoms included fever, headache, jaundice (yellowing of skin &amp; eyes), muscle pain, n... https://t.co/y45fmd6r3y'",fever,b bit virus \n\nsymptoms included fever headache jaundice yellowing skin amp eyes muscle pain n ...,virus headache amp,bit virus \n\nsymptoms included fever headache jaundice yellowing skin amp eye muscle pain n ...,0.0,0.0,Neutral
57,"b'symptoms can include stomach cramps, bloating, nausea, and fever. \n\ntreatment options include drinking plenty of fl... https://t.co/madojub48w'",fever,b'symptoms include stomach cramps bloating nausea fever \n\ntreatment options include drinking plenty fl ...,stomach,symptoms include stomach cramp bloating nausea fever \n\ntreatment option include drinking plenty fl ...,0.0,0.0,Neutral
58,"b'a patient is accompanied by his friend to the clinic on account of headache, ""fever"" &amp; nausea. he is seen by the dr... https://t.co/c8axokxr17'",fever,b patient accompanied friend clinic account headache `` fever '' amp nausea seen dr ...,amp,patient accompanied friend clinic account headache `` fever `` amp nausea seen dr ...,0.0,0.0,Neutral
59,b'@partohthegreat persistent headache\nfevers\nchills\njoint pains \ngbw\nnausea \netc',fever,b persistent headache\nfevers\nchills\njoint pains \ngbw\nnausea \netc,,persistent headache\nfevers\nchills\njoint pain \ngbw\nnausea \netc,0.0,0.0,Neutral
60,"b'@piper4missouri a friend of mine over 65 recently experienced extreme nausea, dizziness, &amp; fever. after hours sitti... https://t.co/26lz3l7ryb'",fever,b friend mine recently experienced extreme nausea dizziness amp fever hours sitti ...,extreme,friend mine recently experienced extreme nausea dizziness amp fever hour sitti ...,0.95,0.3375,Positive
61,"b'pergi kerja feeling feverish, having dysmenorrhoea and nausea. took painkiller, relieved a bit and for awhile, want... https://t.co/psjpzg4d6a'",fever,b'pergi kerja feeling feverish dysmenorrhoea nausea took painkiller relieved bit awhile want ...,feverish relieved awhile,pergi kerja feeling feverish dysmenorrhoea nausea took painkiller relieved bit awhile want ...,0.4,-0.1,Negative
62,"b'@abc products distributed in conn., dc, maryland, mass., nj, ny, nc, penn., sc., va.\n\nsymptoms:  high fever, severe... https://t.co/1ejiueilse'",fever,b products distributed conn. dc maryland mass. nj ny nc penn. sc. va.\n\nsymptoms high fever severe ...,conn. nj ny high,product distributed conn. dc maryland mass . nj ny nc penn . sc . va.\n\nsymptoms high fever severe ...,0.5399999999999999,0.16,Positive
63,"b'@jfrechmann @tonysandersu46 @awake_il the child is obviously ill to the point of having a fever and nausea, why wou... https://t.co/vgkobfyzym'",fever,b child obviously ill point fever nausea wou ...,ill,child obviously ill point fever nausea wou ...,1.0,-0.5,Negative
64,"b'@healthbyjames had it in oct of 21 while in st lucia. quarantined at the resort 10 days, felt like death w/fever,... https://t.co/b2geoixjdn'",fever,b oct st lucia quarantined resort days felt like death w/fever ...,,oct st lucia quarantined resoday felt like death w/fever ...,0.0,0.0,Neutral
65,b'nausea\n\nvomiting\n\ndiarrhea\n\nstomach cramps\n\nheadache\n\nfever\n\nbody aches https://t.co/9ow6nhvvwb',fever,b'nausea\n\nvomiting\n\ndiarrhea\n\nstomach cramps\n\nheadache\n\nfever\n\nbody aches,,nausea\n\nvomiting\n\ndiarrhea\n\nstomach cramps\n\nheadache\n\nfever\n\nbody ache,0.0,0.0,Neutral
66,b'and the feverish4 anxiety incident to betting other 56 toefl110+ ielts7.5+  gre305+  gmat780+  sat1565+  act35+... https://t.co/4aff9mtsa9',fever,b'and feverish anxiety incident betting toefl+ ielts.+ gre+ gmat+ sat+ act+ ...,feverish toefl+,and feverish anxiety incident betting toefl+ ielts.+ gre+ gmat+ sat+ act+ ...,0.4,-0.1,Negative
67,b'@ricchfever @theejoeyy yall dont understand this is dangerous because your reckless drive causes people to have a... https://t.co/dfydpb9lxt',fever,b yall dont understand dangerous reckless drive causes people ...,dangerous reckless,yall dont understand dangerous reckless drive cause people ...,0.9,-0.6,Negative
68,"b'pour me water, holy water quench this fever'",fever,b'pour water holy water quench fever,pour holy,pour water holy water quench fever,0.0,0.0,Neutral
69,b'@phillycrimeupd wait til jungle fever hits this summer.....its going to be a record breaking year of trash shooting trash!',fever,b wait til jungle fever hits summer ..... going record breaking year trash shooting trash,,wait til jungle fever hit summer ..... going record breaking year trash shooting trash,0.0,0.0,Neutral
70,"b""had a funny thought while listening to a song \n\nbeau &amp; valentine at a disco dancing to 'night fever' by adam garci... https://t.co/xnzrm3xogl""",fever,b '' funny thought listening song \n\nbeau amp valentine disco dancing 'night fever adam garci ...,funny song,`` funny thought listening song \n\nbeau amp valentine disco dancing 'night fever adam garci ...,1.0,0.25,Positive
71,b'when iiiiiiiiiii was a child......i had a fever......\n\nmy hands felt just like...two big ballooooons...... https://t.co/xgjzpp4h28',fever,b'when iiiiiiiiiii child ...... fever ...... \n\nmy hands felt like ... two big ballooooons ......,big,when iiiiiiiiiii child ...... fever ...... \n\nmy hand felt like ... two big ballooooons ......,0.1,0.0,Neutral
72,"b""usually i would be angry with all the sh t takes on this app but last time i checked i had 39.8 in fever so i'm jus... https://t.co/jrc97ytfbk""",fever,b '' usually would angry sh takes app last time checked fever 'm jus ...,sh last,`` usually would angry sh take app last time checked fever 'm jus ...,0.4388888888888889,-0.25,Negative
73,"b'rt @primary_immune: patient 1 : 9 year-old boy: from infancy -&gt; oral lesions, recurrent fever, diarrhea, vomiting, atopic dermatitis...\npa...'",fever,b'rt patient year-old boy infancy gt oral lesions recurrent fever diarrhea vomiting atopic dermatitis ... \npa ..., patient yearold gt oral diarrhea, patient year-old boy infancy gt oral lesion recurrent fever diarrhea vomiting atopic dermatitis ... \npa ...,0.0,0.0,Neutral
74,b'the truth is out there: ufo fever grips congress - politico https://t.co/5voap5kd9z',fever,b'the truth ufo fever grips congress politico,ufo,the truth ufo fever grip congress politico,0.0,0.0,Neutral
75,"b'patient 1 : 9 year-old boy: from infancy -&gt; oral lesions, recurrent fever, diarrhea, vomiting, atopic dermatitis..... https://t.co/6afehj42lh'",fever,b'patient year-old boy infancy gt oral lesions recurrent fever diarrhea vomiting atopic dermatitis .....,patient yearold gt oral diarrhea,patient year-old boy infancy gt oral lesion recurrent fever diarrhea vomiting atopic dermatitis .....,0.0,0.0,Neutral
76,"b""spent valentine's day with a huge fever and headaches, fun!""",fever,b '' spent valentine 's day huge fever headaches fun '',spent huge,`` spent valentine 's day huge fever headache fun ``,0.39999999999999997,0.20000000000000004,Positive
77,"b""i burn!\ncan't hold me now\nyou got nothing that can stop me\ni burn!\nswing all you want\nlike a fever, i will take you down""",fever,b '' burn \nca n't hold now\nyou got nothing stop me\ni burn \nswing want\nlike fever take '',now you,`` burn \nca n't hold now\nyou got nothing stop me\ni burn \nswing want\nlike fever take ``,0.0,0.0,Neutral
78,b'rt @peeliwg: @goldsbie had a condo property manager who had no sick days. he developed a persistent fever over 2 wks yet had no choice but...',fever,b'rt condo property manager sick days developed persistent fever wks yet choice ...,sick persistent, condo property manager sick day developed persistent fever wks yet choice ...,0.5785714285714285,-0.30714285714285716,Negative
79,"b'thank you, lee mergner, for this marvelous wbgo interview about my new cd ""fever: a peggy lee celebration!"" ""https://t.co/hif453a3nb'",fever,b'thank lee mergner marvelous wbgo interview new cd `` fever peggy lee celebration '' ``,marvelous new peggy lee,thank lee mergner marvelous wbgo interview new cd `` fever peggy lee celebration `` ``,0.7272727272727273,0.5681818181818181,Positive
80,"b'this is what i warned about ""hemorhagic fever"" (similar to ebola)\n\nthey are talking about it now .... stock up on c... https://t.co/q3odsn2jvi'",fever,b'this warned `` hemorhagic fever '' similar ebola \n\nthey talking .... stock c ...,hemorhagic similar ....,this warned `` hemorhagic fever `` similar ebola \n\nthey talking .... stock c ...,0.4,0.0,Neutral
81,b'i am feeling kaafi sick rn:)))) this fever is killing me',fever,b feeling kaafi sick rn fever killing,sick,feeling kaafi sick rn fever killing,0.8571428571428571,-0.7142857142857143,Negative
82,b'@_yunkicafe mine fever',fever,b mine fever,,mine fever,0.0,0.0,Neutral
83,"b'rt @catiezee: ""illness was the cause of the sharp rises in absences before christmas, as strep a...scarlet fever...as well as covid...empti...'",fever,b'rt `` illness cause sharp rises absences christmas strep ... scarlet fever ... well covid ... empti ...,illness sharp, `` illness cause sharp rise absence christmas strep ... scarlet fever ... well covid ... empti ...,0.375,-0.06875,Negative
84,b'all my nephews and nieces give me baby fever',fever,b'all nephews nieces give baby fever,,all nephew niece give baby fever,0.0,0.0,Neutral
85,"b'@crystalbunni i caught baby fever soooooo bad, yesterday!!!'",fever,b caught baby fever soooooo bad yesterday,bad,caught baby fever soooooo bad yesterday,0.6666666666666666,-0.6999999999999998,Negative
86,b'this fever nd being at school got me fuuuuucked up rn',fever,b'this fever nd school got fuuuuucked rn,nd,this fever nd school got fuuuuucked rn,0.0,0.0,Neutral
87,b'today has by far been one of the toughest days as a single mother. ive been running a fever most of the day and st... https://t.co/mdhpgug4gz',fever,b'today far one toughest days single mother ive running fever day st ...,single ive,today far one toughest day single mother ive running fever day st ...,0.6071428571428571,0.01428571428571429,Positive
88,b'@blake_allen13 @billscher eh i dont think someone ever loses presidential fever once they catch it. but the path f... https://t.co/5ensb1w91t',fever,b eh dont think someone ever loses presidential fever catch path f ...,presidential,eh dont think someone ever loses presidential fever catch path f ...,0.1,-0.3,Negative
89,"b'limits,in demarest, certified, self-willingness fever intimidation\n?\n\n\nax\nax\nax'",fever,b'limits demarest certified self-willingness fever intimidation\n \n\n\nax\nax\nax,selfwillingness,limits demarest certified self-willingness fever intimidation\n \n\n\nax\nax\nax,0.0,0.0,Neutral
90,b'still think this is a fever dream https://t.co/scnhax0cx5',fever,b'still think fever dream,,still think fever dream,0.0,0.0,Neutral
91,"b'fever, inevitable. scanner. disappointment house. react\n?\n\n\nh80\nh80\nh80'",fever,b'fever inevitable scanner disappointment house react\n \n\n\nh\nh\nh,inevitable,fever inevitable scanner disappointment house react\n \n\n\nh\nh\nh,0.7,-0.3,Negative
92,"b'hi fever,i can feel you coming,i can feel you.'",fever,b'hi fever feel coming feel,,hi fever feel coming feel,0.0,0.0,Neutral
93,b'@throatmealrulez how high is the fever..? ',fever,b high fever ..,high,high fever ..,0.5399999999999999,0.16,Positive
94,b'i am panicking!!!!!!! this has to be a fever dream. https://t.co/o5weoefv73',fever,b panicking fever dream,,panicking fever dream,0.0,0.0,Neutral
95,"b'nnewi, what is this?\n\nnnewi is still standing for peter obi \n\nnnewi added more heat untop of ladipo fever ... https://t.co/iycdqylf2z'",fever,b'nnewi \n\nnnewi still standing peter obi \n\nnnewi added heat untop ladipo fever ...,untop,nnewi \n\nnnewi still standing peter obi \n\nnnewi added heat untop ladipo fever ...,0.0,0.0,Neutral
96,b'how to sleep with a fever',fever,b'how sleep fever,,how sleep fever,0.0,0.0,Neutral
97,"b'- people, with sunset suffering an endless fever.\n\ncan she reverse the spell, even being affected by it herself?'",fever,b'- people sunset suffering endless fever.\n\ncan reverse spell even affected, endless fever.  can,- people sunset suffering endless fever.\n\ncan reverse spell even affected,0.75,-0.125,Negative
98,b'i thought allergies but now my body hurt and i confirmed a fever. hopefully not the flu again . nap time ',fever,b thought allergies body hurt confirmed fever hopefully flu nap time,confirmed flu nap,thought allergy body huconfirmed fever hopefully flu nap time,0.0,0.0,Neutral
99,b'craw fever gna knock me out in this car',fever,b'craw fever gna knock car,,craw fever gna knock car,0.0,0.0,Neutral
