,id,Time,Tweet,Processed_Tweets,tags
7306,2885668589,2023-02-09 04:52:35+00:00,"b'@xclarisuh yup its a virus going around  throwing up,diarrhea,nausea??? possible fever??'","b'yupvirusgoingaroundthrowing,diarrhea,nausea???possiblefever??'",fever
7331,1644006348,2023-02-09 03:51:14+00:00,"b'@frederickleath5 @healthbyjames i did not get "" the shots."" tested positive sept 1, 2022. only 3 symptoms: fever, n... https://t.co/fsq31wqain'","b'get``shots.''testedpositivesept,.symptoms:fever,n...",fever
7423,1567696195816161282,2023-02-09 01:27:30+00:00,b'early symptoms of hiv can include:\n-fever\n-chills\n-swollen lymph nodes\n-general aches and pains\n-skin rash\n-sore th... https://t.co/6gn1i6sryu',b'earlysymptomshivinclude:\n-fever\n-chills\n-swollenlymphnodes\n-generalachespains\n-skinrash\n-soreth...,fever
7520,1556650723751763968,2023-02-08 23:06:46+00:00,b'just got done and am wait for medic transport to take me back home. already feeling the chemo fever and nausea. whi... https://t.co/ihbl828mqe',b'justgotdonewaitmedictransporttakebackhome.alreadyfeelingchemofevernausea.whi...,fever
7632,2682726528,2023-02-08 19:24:04+00:00,"b""@steviewildcard there's a 2 day bug going around my house. sore throat, fever, and nausea. i'm sure i'm next ""","b'''sdaybuggoingaroundhouse.sorethroat,fever,nausea.'msure'mnext``",fever
7651,3431854829,2023-02-08 19:00:59+00:00,b'the initial symptoms of low to moderate carbon monoxide (co) poisoning are similar to the flu but without the fever... https://t.co/k2ihw39f9g',b'theinitialsymptomslowmoderatecarbonmonoxide(co)poisoningsimilarfluwithoutfever...,fever
7681,932841849655619585,2023-02-08 18:25:43+00:00,"b'im so confuse w/ my body. i been feeling sick on &amp; off since the weekend. but no running fevers, just body aches,... https://t.co/ewvqh7lmto'","b'imconfusew/body.feelingsick&amp;sinceweekend.runningfevers,bodyaches,...",fever
7730,1516278558456356865,2023-02-08 17:25:28+00:00,b'rt @jithinmarottik: @starhealthins @irdaindia generic back ache considered as pre existing n claims denied. tmrw any symptoms like fever an...',b'rt:genericbackacheconsideredpreexistingnclaimsdenied.tmrwsymptomslikefever...',fever
7806,1383997963895152640,2023-02-08 15:49:55+00:00,"b'-fever:\n\nthe pain, the nausea and vomiting can result into fever and its accompanied by headaches and delirium.\n\ny... https://t.co/yinqhn7o0m'","b'-fever:\n\nthepain,nauseavomitingresultfeveraccompaniedheadachesdelirium.\n\ny...",fever
7816,770679093364940800,2023-02-08 15:35:22+00:00,"b'@nkaty2012 @mateboho_ml nna my withdrawal symptoms are intense.\nnausea, fever, dizziness '","b'nnawithdrawalsymptomsintense.\nnausea,fever,dizziness'",fever
7820,1457172481568038913,2023-02-08 15:30:37+00:00,"b'a bit more about the virus:\n\nsymptoms included fever, headache, jaundice (yellowing of skin &amp; eyes), muscle pain, n... https://t.co/y45fmd6r3y'","b'bitvirus:\n\nsymptomsincludedfever,headache,jaundice(yellowingskin&amp;eyes),musclepain,n...",fever
7853,1501586491671252993,2023-02-08 14:53:22+00:00,"b'symptoms can include stomach cramps, bloating, nausea, and fever. \n\ntreatment options include drinking plenty of fl... https://t.co/madojub48w'","b'symptomsincludestomachcramps,bloating,nausea,fever.\n\ntreatmentoptionsincludedrinkingplentyfl...",fever
8015,1042434908130607106,2023-02-08 09:52:58+00:00,"b'a patient is accompanied by his friend to the clinic on account of headache, ""fever"" &amp; nausea. he is seen by the dr... https://t.co/c8axokxr17'","b'patientaccompaniedfriendclinicaccountheadache,``fever''&amp;nausea.seendr...",fever
8066,1505508647362826240,2023-02-08 07:30:20+00:00,b'@partohthegreat persistent headache\nfevers\nchills\njoint pains \ngbw\nnausea \netc',b'persistentheadache\nfevers\nchills\njointpains\ngbw\nnausea\netc',fever
8164,1593738274157334533,2023-02-08 05:01:14+00:00,"b'@piper4missouri a friend of mine over 65 recently experienced extreme nausea, dizziness, &amp; fever. after hours sitti... https://t.co/26lz3l7ryb'","b'friendminerecentlyexperiencedextremenausea,dizziness,&amp;fever.hourssitti...",fever
8166,917738500669054977,2023-02-08 04:58:58+00:00,"b'pergi kerja feeling feverish, having dysmenorrhoea and nausea. took painkiller, relieved a bit and for awhile, want... https://t.co/psjpzg4d6a'","b'pergikerjafeelingfeverish,dysmenorrhoeanausea.tookpainkiller,relievedbitawhile,want...",fever
8351,750763772,2023-02-08 00:50:37+00:00,"b'@abc products distributed in conn., dc, maryland, mass., nj, ny, nc, penn., sc., va.\n\nsymptoms:  high fever, severe... https://t.co/1ejiueilse'","b'productsdistributedconn.,dc,maryland,mass.,nj,ny,nc,penn.,sc.,va.\n\nsymptoms:highfever,severe...",fever
8422,1582533632991838209,2023-02-07 23:10:56+00:00,"b'@jfrechmann @tonysandersu46 @awake_il the child is obviously ill to the point of having a fever and nausea, why wou... https://t.co/vgkobfyzym'","b'childobviouslyillpointfevernausea,wou...",fever
8489,1586140742669451264,2023-02-07 21:39:30+00:00,"b'@healthbyjames had it in oct of 21 while in st lucia. quarantined at the resort 10 days, felt like death w/fever,... https://t.co/b2geoixjdn'","b'octstlucia.quarantinedresortdays,feltlikedeathw/fever,...",fever
8603,912799952476233729,2023-02-07 19:40:41+00:00,b'nausea\n\nvomiting\n\ndiarrhea\n\nstomach cramps\n\nheadache\n\nfever\n\nbody aches https://t.co/9ow6nhvvwb',b'nausea\n\nvomiting\n\ndiarrhea\n\nstomachcramps\n\nheadache\n\nfever\n\nbodyaches,fever
9385,4229115557,2023-02-14 17:38:14+00:00,b'and the feverish4 anxiety incident to betting other 56 toefl110+ ielts7.5+  gre305+  gmat780+  sat1565+  act35+... https://t.co/4aff9mtsa9',b'andfeverishanxietyincidentbettingtoefl+ielts.+gre+gmat+sat+act+...,fever
10249,134642268,2023-02-14 16:47:02+00:00,b'@ricchfever @theejoeyy yall dont understand this is dangerous because your reckless drive causes people to have a... https://t.co/dfydpb9lxt',b'yalldontunderstanddangerousrecklessdrivecausespeople...,fever
10827,1505418267271348224,2023-02-14 18:16:35+00:00,"b'pour me water, holy water quench this fever'","b'pourwater,holywaterquenchfever'",fever
10829,1574342633715023873,2023-02-14 18:16:26+00:00,b'@phillycrimeupd wait til jungle fever hits this summer.....its going to be a record breaking year of trash shooting trash!',b'waittiljunglefeverhitssummer.....goingrecordbreakingyeartrashshootingtrash!',fever
10833,1166812441180803074,2023-02-14 18:15:37+00:00,"b""had a funny thought while listening to a song \n\nbeau &amp; valentine at a disco dancing to 'night fever' by adam garci... https://t.co/xnzrm3xogl""",b''funnythoughtlisteningsong\n\nbeau&amp;valentinediscodancing'nightfever'adamgarci...,fever
10835,3094635489,2023-02-14 18:15:17+00:00,b'when iiiiiiiiiii was a child......i had a fever......\n\nmy hands felt just like...two big ballooooons...... https://t.co/xgjzpp4h28',b'wheniiiiiiiiiiichild......fever......\n\nmyhandsfeltlike...twobigballooooons......,fever
10836,1597310182891159552,2023-02-14 18:15:10+00:00,"b""usually i would be angry with all the sh t takes on this app but last time i checked i had 39.8 in fever so i'm jus... https://t.co/jrc97ytfbk""",b''usuallywouldangryshtakesapplasttimechecked.fever'mjus...,fever
10839,79975924,2023-02-14 18:14:50+00:00,"b'rt @primary_immune: patient 1 : 9 year-old boy: from infancy -&gt; oral lesions, recurrent fever, diarrhea, vomiting, atopic dermatitis...\npa...'","b'rt:patient:year-oldboy:infancy-&gt;orallesions,recurrentfever,diarrhea,vomiting,atopicdermatitis...\npa...'",fever
10840,1388564695875870724,2023-02-14 18:14:38+00:00,b'the truth is out there: ufo fever grips congress - politico https://t.co/5voap5kd9z',b'thetruth:ufofevergripscongress-politico,fever
10841,79975924,2023-02-14 18:14:26+00:00,"b'patient 1 : 9 year-old boy: from infancy -&gt; oral lesions, recurrent fever, diarrhea, vomiting, atopic dermatitis..... https://t.co/6afehj42lh'","b'patient:year-oldboy:infancy-&gt;orallesions,recurrentfever,diarrhea,vomiting,atopicdermatitis.....",fever
10843,1445090799209877509,2023-02-14 18:13:23+00:00,"b""spent valentine's day with a huge fever and headaches, fun!""","b''spentvalentine'sdayhugefeverheadaches,fun!''",fever
10844,914209005148491776,2023-02-14 18:13:16+00:00,"b""i burn!\ncan't hold me now\nyou got nothing that can stop me\ni burn!\nswing all you want\nlike a fever, i will take you down""","b''burn!\ncan'tholdnow\nyougotnothingstopme\niburn!\nswingwant\nlikefever,take''",fever
10845,1480571583383150602,2023-02-14 18:13:13+00:00,b'rt @peeliwg: @goldsbie had a condo property manager who had no sick days. he developed a persistent fever over 2 wks yet had no choice but...',b'rt:condopropertymanagersickdays.developedpersistentfeverwksyetchoice...',fever
10846,31924521,2023-02-14 18:13:13+00:00,"b'thank you, lee mergner, for this marvelous wbgo interview about my new cd ""fever: a peggy lee celebration!"" ""https://t.co/hif453a3nb'","b'thank,leemergner,marvelouswbgointerviewnewcd``fever:peggyleecelebration!''``",fever
10847,1577794428407873538,2023-02-14 18:13:09+00:00,"b'this is what i warned about ""hemorhagic fever"" (similar to ebola)\n\nthey are talking about it now .... stock up on c... https://t.co/q3odsn2jvi'",b'thiswarned``hemorhagicfever''(similarebola)\n\ntheytalking....stockc...,fever
10848,1486635125022478337,2023-02-14 18:12:58+00:00,b'i am feeling kaafi sick rn:)))) this fever is killing me',b'feelingkaafisickrn:))))feverkilling',fever
10849,1438733486412554248,2023-02-14 18:12:47+00:00,b'@_yunkicafe mine fever',b'minefever',fever
10850,1299432666236846087,2023-02-14 18:11:48+00:00,"b'rt @catiezee: ""illness was the cause of the sharp rises in absences before christmas, as strep a...scarlet fever...as well as covid...empti...'","b'rt:``illnesscausesharprisesabsenceschristmas,strep...scarletfever...wellcovid...empti...'",fever
10851,1031619146776305665,2023-02-14 18:11:48+00:00,b'all my nephews and nieces give me baby fever',b'allnephewsniecesgivebabyfever',fever
10852,61232229,2023-02-14 18:11:43+00:00,"b'@crystalbunni i caught baby fever soooooo bad, yesterday!!!'","b'caughtbabyfeversoooooobad,yesterday!!!'",fever
10853,318901961,2023-02-14 18:11:09+00:00,b'this fever nd being at school got me fuuuuucked up rn',b'thisfeverndschoolgotfuuuuuckedrn',fever
10854,1615649295939604480,2023-02-14 18:10:50+00:00,b'today has by far been one of the toughest days as a single mother. ive been running a fever most of the day and st... https://t.co/mdhpgug4gz',b'todayfaronetoughestdayssinglemother.iverunningfeverdayst...,fever
10855,82673602,2023-02-14 18:10:48+00:00,b'@blake_allen13 @billscher eh i dont think someone ever loses presidential fever once they catch it. but the path f... https://t.co/5ensb1w91t',b'ehdontthinksomeoneeverlosespresidentialfevercatch.pathf...,fever
10856,1320293023,2023-02-14 18:10:43+00:00,"b'limits,in demarest, certified, self-willingness fever intimidation\n?\n\n\nax\nax\nax'","b'limits,demarest,certified,self-willingnessfeverintimidation\n?\n\n\nax\nax\nax'",fever
10857,1074942743141441536,2023-02-14 18:10:25+00:00,b'still think this is a fever dream https://t.co/scnhax0cx5',b'stillthinkfeverdream,fever
10860,1922822563,2023-02-14 18:09:59+00:00,"b'fever, inevitable. scanner. disappointment house. react\n?\n\n\nh80\nh80\nh80'","b'fever,inevitable.scanner.disappointmenthouse.react\n?\n\n\nh\nh\nh'",fever
10861,852657061,2023-02-14 18:09:41+00:00,"b'hi fever,i can feel you coming,i can feel you.'","b'hifever,feelcoming,feel.'",fever
10862,29038143,2023-02-14 18:09:26+00:00,b'@throatmealrulez how high is the fever..? ',b'highfever..?',fever
10863,64096507,2023-02-14 18:09:24+00:00,b'i am panicking!!!!!!! this has to be a fever dream. https://t.co/o5weoefv73',b'panicking!!!!!!!feverdream.,fever
10864,1500394600762068993,2023-02-14 18:09:08+00:00,"b'nnewi, what is this?\n\nnnewi is still standing for peter obi \n\nnnewi added more heat untop of ladipo fever ... https://t.co/iycdqylf2z'","b'nnewi,?\n\nnnewistillstandingpeterobi\n\nnnewiaddedheatuntopladipofever...",fever
10866,1408810351265787917,2023-02-14 18:08:59+00:00,b'how to sleep with a fever',b'howsleepfever',fever
10867,1264730871363493893,2023-02-14 18:08:50+00:00,"b'- people, with sunset suffering an endless fever.\n\ncan she reverse the spell, even being affected by it herself?'","b'-people,sunsetsufferingendlessfever.\n\ncanreversespell,evenaffected?'",fever
10868,160364401,2023-02-14 18:08:19+00:00,b'i thought allergies but now my body hurt and i confirmed a fever. hopefully not the flu again . nap time ',b'thoughtallergiesbodyhurtconfirmedfever.hopefullyflu.naptime',fever
10870,1409763588429000705,2023-02-14 18:07:55+00:00,b'craw fever gna knock me out in this car',b'crawfevergnaknockcar',fever
10871,1616069453946535938,2023-02-14 18:07:53+00:00,b'@hrtchangbin a what?? this is a fever dream icb.',b'??feverdreamicb.',fever
10872,3230668306,2023-02-14 18:07:19+00:00,b'@voadeewa what a failed state.75 years or so of corruption n religious fever has destroyed a nation that had all.st... https://t.co/rawre1sbmt',b'failedstate.yearscorruptionnreligiousfeverdestroyednationall.st...,fever
10873,1234468825753628677,2023-02-14 18:07:17+00:00,b'its cup fever at woodlands tonight as our j team from div 4 take on our i team from div 3 #cupmagic #giantkilling',b'itscupfeverwoodlandstonightjteamdivtaketeamdivcupmagicgiantkilling',fever
10874,1217589338,2023-02-14 18:06:57+00:00,b'gap fever  https://t.co/m6bjeeawof',b'gapfever,fever
10875,3499202774,2023-02-14 18:06:49+00:00,b'literally a fever dream i cannot believe this',b'literallyfeverdreambelieve',fever
10876,610014172,2023-02-14 18:06:48+00:00,b'why @karachikingsary still in fever of @iamamirofficial?\n@salman_ary please move on sir g. main bowler failed to ge... https://t.co/s93rcknztz',b'whystillfever?\npleasemovesirg.mainbowlerfailedge...,fever
10877,1575578966261628928,2023-02-14 18:06:30+00:00,"b'for everyone now in a fever over digital id, understand that that ship sailed no later than 2016. \nsoylent green -... https://t.co/vukupykbaz'","b'foreveryonefeverdigitalid,understandshipsailedlater.\nsoylentgreen-...",fever
10878,1526376534398803968,2023-02-14 18:06:09+00:00,"b'@midknight077 some kinda coughing spell xd mostly when i try to talk no fever or anything though, and covid(-) lol'","b'kindacoughingspellxdmostlytrytalkfeveranythingthough,covid(-)lol'",fever
10879,3032577950,2023-02-14 18:06:01+00:00,b'#nowplaying to the top (feat. dvi) by psychic fever from exile tribe on j-pop powerplay https://t.co/ffyreth9jt... https://t.co/txrbtftiob',b'nowplayingtop(feat.dvi)psychicfeverexiletribej-poppowerplay,fever
10880,955204246496071680,2023-02-14 18:05:55+00:00,b'im mad cause why tf i woke up with a fever ',b'immadcausetfwokefever',fever
10881,781021410,2023-02-14 18:05:17+00:00,b'checking in.\n\ni can definitely tell im improving (just not fast enough lol). the fever for the most part is gone.... https://t.co/ld5rgivla1',b'checkingin.\n\nidefinitelytellimimproving(fastenoughlol).feverpartgone....,fever
10883,914534222160728065,2023-02-14 18:05:07+00:00,b'@jim_jordan another day another right-wing fever dream fueled diatribe. #gymnasiumjordanisanidiot',b'anotherdayanotherright-wingfeverdreamfueleddiatribe.gymnasiumjordanisanidiot',fever
10884,1432639949585539075,2023-02-14 18:04:56+00:00,b'fever strikes ',b'feverstrikes',fever
10885,1604628533141176322,2023-02-14 18:04:14+00:00,b'rt @chaeinloop: cabin fever concept trailer # cut. https://t.co/2czosnacbs',b'rt:cabinfeverconcepttrailercut.,fever
10886,1292916319243735040,2023-02-14 18:03:51+00:00,b'did you catch the fever flying toward the moon?\nsailing in space to a distant shore\nyou kind of wonder what they ca... https://t.co/hlhjrh4juv',b'didcatchfeverflyingtowardmoon?\nsailingspacedistantshore\nyoukindwonderca...,fever
10887,16113781,2023-02-14 18:03:47+00:00,b'@bluebell633 @warmonitors he has a severe copium fever',b'severecopiumfever',fever
10888,23425512,2023-02-14 18:03:44+00:00,b'@puppygumdrop @pamelas01846949 ah yes i love fever ray ..and this song too ..thank you',b'ahyeslovefeverray..song..thank',fever
10889,1597424776146030592,2023-02-14 18:03:42+00:00,"b'@qwz180 @tradsperger sick as hell nov 2019. dont know if it was covid, but 48 hours of fever, heavy sweats, chills... https://t.co/nsvfmj0sbk'","b'sickhellnov.dontknowcovid,hoursfever,heavysweats,chills...",fever
10890,1617955209376043008,2023-02-14 18:03:15+00:00,"b""rt @beliftgallery: 'fever' official mv\n\n# @enhypen_members https://t.co/ydlnq3a9cd""",b''rt:'fever'officialmv\n\n,fever
