,tags,Cleaned_tweet,recommend,symptoms1
605,fever,not bitch sending home fever amp high blood pressure like wtf amp dont know whats wrong,Dress in Light Clothing.,No
608,fever,during brucelee movie time title song ni single night lo finish chesadu fever unna kooda amp srk visited song se ,Dress in Light Clothing.,No
610,fever,just thought life going smoothly liking slapped nasty viral fever thanks bhagwan,Dress in Light Clothing.,No
611,fever,  okay 'm still sick maybe fever tried writing bed fell research rabbit hole instea ,Dress in Light Clothing.,No
615,fever,pink venom wildest dream hill fever,Dress in Light Clothing.,No
619,fever, north jersey grip tournament fever every night title game impact north jers ,Dress in Light Clothing.,No
626,fever,feeling sick like fever youre holiday worse feeling ever,Dress in Light Clothing.,No
628,fever,one would think homage maybe least fever dream segment,Dress in Light Clothing.,No
652,fever,cold pinkeye chilly fever feeling moment,Dress in Light Clothing.,No
669,fever,mbappe r overpriced never worth million ppl must fever buy price,Dress in Light Clothing.,No
672,fever,  mean least n't baby fever  ,Dress in Light Clothing.,No
674,fever,get well soon also got fever today maybe season many people get sick,Dress in Light Clothing.,No
695,fever,all d  track live performance gon na get  feel like fever dream insane,Dress in Light Clothing.,No
697,fever,rajalingam birth time white colour fever lady fever time come blood dirty time ,Dress in Light Clothing.,No
701,fever, marburg virus highly dangerous pathogen cause severe fever often accompanied bleeding organ failure  rea ,Dress in Light Clothing.,No
708,fever,  thank really want finish pic today got fever 's bit difficult thought  ,Dress in Light Clothing.,No
717,fever,you twitter bad fever  facebook,Dress in Light Clothing.,No
719,fever,streams tentative week girl fighting fever feel like absolute as ill back soon,Dress in Light Clothing.,No
732,fever,talking u real tell fever  like seriously body started shivering went collldddd shaking,Dress in Light Clothing.,No
738,fever,aortaed year old history fever week complaint back ache falling fro ,Dress in Light Clothing.,No
752,nausea,  alright truth dare        truth   taehyung clear throat building worry churning nausea gut,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
753,nausea,  definitely felt nausea listening 's sad longer trea ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
755,nausea,  holy shit ca n't believe terrible feel right nausea kicking as much think 'm actually g ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
756,nausea,  getting desperate 's worm as causing itch nausea apparently commenting ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
761,nausea, people losing livestock feeling nausea burning eye problem dead fish wildlife ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
765,nausea,people losing livestock feeling nausea burning eye problem dead fish wildlife ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
766,nausea,had rush home cause thought id faint due nausea scary,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
768,nausea,call hard drug weed doctor telling mom smoke ease nausea,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
771,nausea, nausea wobbling confusion dog getting sick discarded weed,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
772,nausea,latest chainsaw man chapter induced terrible nausea unbearably awful situation good life vibe fu ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
773,nausea,stop posting video nausea getting worse every time,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
785,nausea,guys deal nausea day everyday medication even working every single day ke sana,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
815,nausea,the nausea finally subsided   today cleaning day car horrible mess gaffer going tack ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
817,nausea,nausea wobbling confusion dog getting sick discarded weed,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
819,nausea,nausea also eat crazy morning sickness,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
821,nausea,nausea wobbling confusion dog getting sick discarded weed,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
828,nausea,worst morning nausea,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
832,nausea,corrupt gang woke cultist bloviates ad nausea stopping misinformation,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
833,nausea,also random bout nausea back fighting life,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
835,nausea,corrupt gang woke cultist bloviates ad nausea stopping misinformation,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
837,nausea,corrupt gang woke cultist bloviates ad nausea stopping misinformation,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
839,nausea,thank nausea gone think bad reaction counter stuff,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
840,nausea,corrupt gang woke cultist bloviates ad nausea stopping misinformation,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
842,nausea, nausea sat heachakra space dark energy low vibe watched evil world play mu ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
843,nausea,the nausea sat heachakra space dark energy low vibe watched evil world play ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
845,nausea,let know im three row behind ill set graham lad nausea em fun,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
849,nausea,dead frog amp fish nausea burning eye ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
850,nausea,wine drunk time probably give insane nausea headache,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
853,nausea,  cycle every week last night tough nausea medicine n't work well enough like thought would  ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
863,nausea,nausea wobbling confusion dog getting sick discarded weed,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
866,nausea,they cant handle little headache nausea bloating high blood pressure,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
880,nausea,everyone get upset lot woman smoke pregnancy due nausea,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
885,nausea,trouble sleeping bc nausea trying sleep mom come stamessing ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
886,nausea,alone unloved fear pain wracked nausea slowly   drawn ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
888,nausea,third trimester nausea much worse first trimester nausea,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
889,nausea,thank he still pretty sick wasnt emergency turned gave nausea med ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
890,nausea,wake nausea amp major back pain  me wonder mean,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
891,nausea,nausea wobbling confusion dog getting sick discarded weed,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
892,nausea,another round nausea,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
893,nausea,hated movie generated much nausea . tobaahhhh,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
895,nausea,  perforate bliss condense raw nausea security n't exist  ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
901,nausea,soldier issue goggles including getting sick nausea heavy ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
904,nausea,nausea wobbling confusion dog getting sick discarded weed,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
907,nausea,this extreme nausea killing fr,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
908,nausea,  literally barely slept round nerve pain braxton hick amp nausea  'm day already amp n't even begun  ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
911,nausea,health update  was poorly yesterday headache dizziness night nausea call ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
912,nausea,thats good discipline usually higher energy strain worst nausea ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
914,nausea,ohhhh boy nausea hitting hard morning,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
917,nausea,cuddling man im sad sick feel rn constant nausea,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
925,nausea,  n't get nausea alcohol aversion symptom year getting sick still struggl ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
927,nausea,took second mtx injection saturday exhaustion worst getting wave nausea bu ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
933,nausea,youre even nausea emoji avocado green,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
941,nausea,phuck calling nausea anger tum,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
945,nausea,im ill. anyone else urgh nausea dizziness headache negative covid,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
946,nausea,sleep pm   still wake nauseated amp exhausted . cannot get without fi ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
949,nausea,haha fuck insecurity nausea,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
954,nausea,drinking enough headache nausea often due dehydration,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
955,nausea,hungry eat anything w o experiencing horrific nausea like would survived life ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
959,nausea,ginger ginger tea nausea hair loss save christine make wig sugar artificial swee ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
961,nausea,these med caused insomnia intense nausea  im exhausted,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
962,nausea,dont want say im allergic valentine day woken morning extreme nausea eye ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
963,nausea,nausea wobbling confusion dog getting sick discarded weed,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
967,nausea,woman dealing hyperemesis gravidarum basiclly extreme nausea told weed help ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
968,nausea,also bus stop every time bus go remember fondly violent bout nausea forc ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
973,nausea,  gt  fact got nausea stomach ache bc blood test everyone 's acting like 'm fucked  ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
976,nausea,nausea cramping bloating . he angry,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
978,nausea,im trying definitely need drink hard whenever drink water make nausea much worse,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
982,nausea,several animal found dead near wreckage resident complaining headache nausea .,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
986,nausea,nausea wobbling confusion dog getting sick discarded weed,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
987,nausea,yall dont know shit smh .. case smoking bud help nausea f ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
991,nausea,when wake nausea induced hunger pain like hm never usually happens feel like could sick,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
997,nausea,keep forgetting call doctor ask send prescription anti nausea stuff feel ick lately ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
998,nausea,up nausea hour amp half one worst pagp.  so sleepy   gastroparesis,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
999,nausea,the nausea throwing absolutely ridiculous coming flare deadass ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1005,nausea,nausea wobbling confusion dog getting sick discarded weed,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1010,nausea,honestly hate first trimester nausea horrible heartburn second third trimeste ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1015,nausea,say everyday nausea tell tale sign im hungry biggest fucking set,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1019,nausea,way nausea literally make water disgusting literally full time jotrying make sure youre eating enough,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1020,nausea,  'll quiet one early bed nausea n't let till maybe day two next chemo round  ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1023,nausea, nausea ridiculous,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1029,nausea,does anyone know help like constant nausea get morning late night bed ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1032,nausea,this nausea ridiculous,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1033,nausea,oh also extreme nausea point threw two different occasion shortly taking morning,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1035,nausea,im totally keyed exhausted least nausea passed,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1036,nausea,the nausea bad month,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1037,nausea,shoulda drank tea form ginger hit harder alleviates nausea,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1038,nausea,suddenly body deteriorated started getting sick migraine attack severe nausea omg feel ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1043,nausea,nausea definitely coffee doesnt dirty like,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1053,nausea,nausea wobbling confusion dog getting sick discarded weed,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1055,nausea, nausea wobbling confusion dog getting sick discarded weed,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1058,nausea,nausea wobbling confusion dog getting sick discarded weed,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1065,nausea,gm babe im tea person dont hate coffee coffee sometimes make stomach pain nausea,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1067,nausea,  omg 'm glad brought pm nausea outrageous felt pretty isolated bec ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1069,nausea,yeah least mexico daily poison cheap made horribly anxious nausea ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1075,nausea,you drink water cold cold dehydrate lead nausea vertigo staye ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1078,nausea,bet every woman ever extreme nausea pregnancy jealous co ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1080,nausea,nausea wobbling confusion dog getting sick discarded cannabis ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1083,nausea,stay minute ask fucking headache burning eye nausea,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1084,nausea,personally eat unseasoned boiled chicken unseasoned rice pm nausea bad eating make vo ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1085,nausea,nausea wobbling confusion dog getting sick discarded weed cannabis,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1094,nausea,nausea wobbling confusion dog getting sick discarded weed dnyuz,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1095,nausea,  seriously  's difference  mean whole cramp nausea bloating psychological .. ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1099,nausea,looked attack sickening nausea deja vu sometimes lead losing consciousness falling ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1103,nausea,nausea worst feeling ever,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1106,nausea,  im upping intake like day ca n't take nausea martial apractice mad ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1109,nausea,  feel weird man 's like nausea mixed something else  ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1117,nausea,nausea wobbling confusion dog getting sick discarded weed dnyuz,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1119,nausea,hate nausea come news death,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1123,nausea,the nausea come migraine worst,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1124,nausea,  's nausea chance body hate whatever chemical order taste decent  ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1126,nausea,xeloda used olanzapine nausea game changer make ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1128,nausea,uh nausea difficult breathing light headed ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1134,nausea,  'm still recovering upper respiratory tract infection crazy first day cold nausea heada ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1139,nausea,well today interesting real bad nausea nowhere cant even eat whle bowl,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1140,nausea,this nausea horrible omg,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1142,nausea,ive gotten motion sick time last time played rift lasted maybe minute nausea ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1144,nausea,ive sick stomach day idea there absolutely worse illness stomach pain nausea,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1147,nausea,nausea wobbling confusion dog getting sick discarded weed place rec ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1149,nausea,nausea wobbling confusion dog getting sick discarded weed.  in place recreational use legal ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1151,nausea,family member friend thats struggling cold migraine nausea food ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
1154,nausea,edibles     sick dog danger discarded weed edible nausea wobbling confusion symptom   ,"Acupressure: Acupressure, which involves applying pressure to certain points on the body, has been found to be effective in reducing nausea.",No
