,Tweet,tags,Cleaned_tweet,Subjectivity,Polarity,Sentiment,Noun_phrases,Adjectives,final
10,"b'well my wish came true... body aches, fever, nausea, im miserable '",fever,well wish came true  body ache fever nausea im miserable,0.825,-0.325,Negative,"['true body', 'ache', 'fever', 'nausea', 'im', 'miserable']","['wish', 'true']",Dress in Light Clothing.
11,"b'catching cold/tropical cold\n\ncause: too much exertion in outdoor activities + bad weather\n\nsymptoms: nausea, fever,... https://t.co/ogr1gcnz7q'",fever,catching cold tropical cold  cause much exertion outdoor activity bad weather  symptoms nausea fever ,0.588888889,0.033333333,Positive,"['cold tropical cold', 'cause', 'much exertion', 'outdoor', 'activity', 'bad weather', 'nausea', 'fever']","['cold', 'tropical', 'much', 'bad']",The Power of Positive Thinking by Norman Vincent Peale (book)
12,"b'@auntmaggiep fever, nausea, vomiting, bowel issues, weak, dizzy..............'",fever,fever nausea vomiting bowel issue weak dizzy ..,0.625,-0.375,Negative,"['fever', 'nausea', 'bowel issue', 'weak dizzy', '..']","['bowel', 'weak']",Dress in Light Clothing.
13,"b""kid got sick and has a high fever and nausea and now i think i'm sick. neat. here's hoping this passes quickly.""",fever,  kid got sick high fever nausea think 'm sick neat 's hoping pass quickly  ,0.688571429,-0.233809524,Negative,"['kid', 'sick high fever', 'nausea', 'sick neat', 'pass']","['sick', 'high', 'sick']",Dress in Light Clothing.
14,"b'@hatch_shane @laurakronen i had it 3 wks ago. no cough or fever. just really bad headache, nausea.'",fever,wks ago cough fever really bad headache nausea,0.666666667,-0.7,Negative,"['wks', 'cough fever', 'bad headache', 'nausea']","['cough', 'bad']",Dress in Light Clothing.
15,b'@striepenlab cryptospiridium:\nwatery diarrhea / stomach cramps or pain / dehydration / nausea / vomiting / fever /... https://t.co/ehewtfc52x',fever,cryptospiridium  watery diarrhea stomach cramp pain dehydration nausea vomiting fever ,0,0,Neutral,"['cryptospiridium', 'watery', 'diarrhea', 'stomach', 'cramp', 'pain', 'dehydration', 'nausea', 'fever']",[],The Psychology of Well-Being Course by Yale University (online course)
16,"b'the shakes. nausea. feverishness. lethargy. cramps. bathroom time. cant keep anything down, even an apple. wow.'",fever,the shake nausea feverishness lethargy cramp bathroom time cant keep anything even apple wow,1,0.1,Positive,"['the shake', 'nausea', 'feverishness', 'lethargy', 'cramp', 'bathroom', 'time', 'anything', 'apple', 'wow']",['cant'],The Seven Spiritual Laws of Success by Deepak Chopra (book)
17,"b'typical food poisoning symptoms are fever, headache, nausea, vomiting, abdominal pain and diarrhea.\n\nread more ... https://t.co/8yvjxlgbeo'",fever,typical food poisoning symptom fever headache nausea vomiting abdominal pain diarrhea.  read ,0.5,-0.166666667,Negative,"['typical food', 'symptom', 'fever', 'headache', 'nausea', 'abdominal pain', 'diarrhea']","['typical', 'abdominal']",Dress in Light Clothing.
18,"b'and now im having episodes of body pain, slight fever, sore throat, nausea, and vomiting  yaw q na. si b... https://t.co/yivpzl90np'",fever,and im episode body pain slight fever sore throat nausea vomiting yaw q na si ,0.166666667,-0.166666667,Negative,"['im episode', 'body', 'pain', 'slight fever', 'sore', 'throat', 'nausea']","['im', 'slight', 'q']",Dress in Light Clothing.
19,b'@ionamckay i had covid last august stuffy/burning nose  loss of taste &amp; smell fever dizzinesss nausea loss of app... https://t.co/9jzvw98li0',fever,covid last august stuffy burning nose loss taste amp smell fever dizziness nausea loss app ,0.066666667,0,Neutral,"['covid', 'last august stuffy', 'nose loss', 'taste', 'amp', 'smell', 'dizziness nausea', 'loss', 'app']","['last', 'august', 'nose', 'dizziness']",Love Yourself Like Your Life Depends On It by Kamal Ravikant (book)
20,"b""woke up with high fever and nausea and i just puked if y'all don't see me tweet on here its cause im fighting for my life""",fever,  woke high fever nausea puked y'all n't see tweet cause im fighting life  ,0.54,0.16,Positive,"['high fever', 'nausea', 'tweet cause', 'im', 'life']","['high', ""y'all"", 'tweet']",The Way of Zen by Alan Watts (book)
21,"b'most common side effect seen during  mountaineer trial were diarrhea, fatigue, rash, nausea, fever&amp;reactions to tra... https://t.co/2t87a3tego'",fever,most common side effect seen mountaineer trial diarrhea fatigue rash nausea fever amp reaction tra ,0.5,0.1,Positive,"['common side', 'effect', 'mountaineer', 'trial', 'diarrhea', 'fatigue', 'rash', 'nausea', 'fever', 'amp reaction', 'tra']","['common', 'amp']",join a community service project or volunteer for a cause they care about
22,"b'@fiinnthehumaan i experience full body tremors, high fevers, migraines, fatigue, nausea, vomiting, cold sweats, dry... https://t.co/g2n9uk6zik'",fever,experience full body tremor high fever migraine fatigue nausea vomiting cold sweat dry ,0.6725,-0.039166667,Negative,"['experience', 'full body', 'tremor high fever', 'migraine', 'fatigue', 'nausea', 'cold sweat', 'dry']","['full', 'tremor', 'high', 'cold']",Dress in Light Clothing.
23,"b'-fever:\n\nthe pain, the nausea and vomiting can result into fever and its accompanied by headaches and delirium.\n\ny... https://t.co/febhfyvyoe'",fever, fever   the pain nausea vomiting result fever accompanied headache delirium.  y ,0,0,Neutral,"['the pain', 'nausea', 'result', 'headache', 'delirium', 'y']",[],The Science of Happiness Course by UC Berkeley (online course)
24,"b'-fever:\n\nthe pain, the nausea and vomiting can result into fever and its accompanied by headaches and delirium.\n\ny... https://t.co/7p2ylb4y6h'",fever, fever   the pain nausea vomiting result fever accompanied headache delirium.  y ,0,0,Neutral,"['the pain', 'nausea', 'result', 'headache', 'delirium', 'y']",[],The Secret by Rhonda Byrne (book)
25,b'high fever &amp; nausea ',fever,high fever amp nausea,0.54,0.16,Positive,"['high fever', 'nausea']",['high'],"attend a self-improvement workshop or seminar, such as Tony Robbins' ""Unleash the Power Within"""
26,"b'i got chills, nausea, and a fever wtf. nah after taking cough medicine everything got worse. close to crashing too... https://t.co/johmqp2gvc'",fever,got chill nausea fever wtf nah taking cough medicine everything got worse close crashing ,0.8,-0.45,Negative,"['chill nausea', 'fever', 'wtf', 'nah', 'cough medicine', 'everything', 'close crashing']","['chill', 'cough', 'worse', 'close']",Dress in Light Clothing.
27,"b'woke up feeling like unknown garbage. c19 test negative, no fever, just mucus and nausea and malaise. \nhad to cance... https://t.co/9icsq6dkyb'",fever,woke feeling like unknown garbage c test negative fever mucus nausea malaise  had cance ,0.5,-0.2,Negative,"['unknown garbage', 'c test', 'negative fever', 'mucus', 'nausea', 'malaise', 'cance']","['unknown', 'c', 'negative']",Dress in Light Clothing.
28,"b'woolworths - nambour, queensland - suspected food poisoning. symptoms: diarrhea, nausea, vomiting, fever, stomach p... https://t.co/uswyvvpajt'",fever,woolworths nambour queensland suspected food poisoning symptom diarrhea nausea vomiting fever stomach p ,0,0,Neutral,"['nambour queensland', 'food', 'symptom', 'diarrhea', 'nausea', 'stomach', 'p']",['nambour'],The Self-Acceptance Project Course by Sounds True (online course)
29,b'fast forward today my child fever is high &amp; it got nothing to do with this nausea vomiting',fever,fast forward today child fever high amp got nothing nausea vomiting,0.57,0.18,Positive,"['today', 'child', 'high amp', 'nothing', 'nausea']",['high'],The Inner Game of Tennis by W. Timothy Gallwey (book)
30,b'sophie started her fever on wednesday &amp; the urgent care dr prescribed is a nausea medication',fever,sophie started fever wednesday amp urgent care dr prescribed nausea medication,0,0,Neutral,"['sophie', 'urgent care', 'dr', 'nausea medication']","['wednesday', 'urgent', 'nausea']",The Gifts of Imperfection by Brené Brown (book)
31,b'symptoms of appendicitis\nloss of appetite\nflatulence\nnausea vomiting\nfever\nmore information please  visit us:... https://t.co/wksniudxwz',fever,symptoms appendicitis loss appetite flatulence nausea vomiting fever more information please visit u ,0,0,Neutral,"['loss', 'appetite', 'flatulence', 'nausea', 'information', 'please', 'visit', 'u']",['more'],"start a daily exercise routine, such as running, cycling, or weightlifting"
32,b'the most commonly searched conditions were \n\ndiabetes\nchest pain\nfever\nheadache\nnausea\nhigh blood pressure (hyperte... https://t.co/cncho7mda7',fever,the commonly searched condition   diabetes chest pain fever headache nausea high blood pressure hyperte ,0.5,-0.3,Negative,"['searched condition', 'pain', 'fever', 'headache', 'high blood', 'pressure', 'hyperte']","['searched', 'chest', 'high']",Dress in Light Clothing.
33,b'2 am the nausea is up my throat again bro theres no way this isnt a fever bc my limbs are in painnn and my body temperature is so weird',fever,nausea throat bro there way isnt fever bc limpainnn body temperature weird,1,-0.5,Negative,"['nausea', 'throat', 'bro', 'way', 'isnt', 'fever', 'bc', 'limpainnn', 'body', 'temperature', 'weird']",[],Dress in Light Clothing.
34,"b'@gatewaypundit avian flu symptoms in humans range from fever, cough, sore throat and muscle aches to nausea, abdomi... https://t.co/dzz19ac2zo'",fever,avian flu symptom human range fever cough sore throat muscle ache nausea abdomi ,0.1,0,Neutral,"['avian flu', 'symptom', 'human range', 'fever', 'cough', 'sore', 'throat', 'muscle', 'ache', 'nausea', 'abdomi']","['avian', 'human']",A Course in Miracles by Foundation for Inner Peace (book)
35,"b'people can suffer from vomiting, diarrhea, nausea, and stomach pain. some may also develop fever, headache, and bod... https://t.co/waituyt0ft'",fever,people suffer vomiting diarrhea nausea stomach pain may also develop fever headache bod ,0,0,Neutral,"['diarrhea', 'nausea', 'stomach', 'pain', 'headache', 'bod']",[],join a community service project or volunteer for a cause they care about
36,"b'people can suffer from vomiting, diarrhea, nausea, and stomach pain. some may also develop fever, headache, and bod... https://t.co/171kzlufvq'",fever,people suffer vomiting diarrhea nausea stomach pain may also develop fever headache bod ,0,0,Neutral,"['diarrhea', 'nausea', 'stomach', 'pain', 'headache', 'bod']",[],The Body Keeps the Score by Bessel van der Kolk (book)
37,"b'@rubycrabtree you do need to get back in touch with them..  pain fever, chills, pressure, swelling, redness and hea... https://t.co/l3jzuhmmjw'",fever,need get back touch .. pain fever chill pressure swelling redness hea ,0,0,Neutral,"['need', 'touch ..', 'pain', 'fever', 'chill', 'pressure', 'redness', 'hea']",['touch'],The Artist's Way: A Spiritual Path to Higher Creativity by Julia Cameron (book)
38,"b'what the fuck sort of illness randomly shows up after taking an afternoon nap and gives me nausea, fever, a headach... https://t.co/pldxl5fgfk'",fever,what fuck soillness randomly show taking afternoon nap give nausea fever headach ,0.55,-0.45,Negative,"['afternoon', 'give nausea', 'fever', 'headach']","['soillness', 'give']",Dress in Light Clothing.
39,b'its not the fever but the nausea that makes this whole thing worse... https://t.co/xgxbsjmowj',fever,its fever nausea make whole thing worse ,0.5,-0.1,Negative,"['fever', 'nausea', 'whole thing', 'worse']",['whole'],Dress in Light Clothing.
40,"b'physical health:\nfever, joints and muscle pain, nausea, fatigue, cold\ncure:\nkr$na'",fever,physical health  fever joint muscle pain nausea fatigue cold cure  kr na,0.142857143,0,Neutral,"['physical health', 'fever', 'joint muscle', 'pain', 'nausea', 'fatigue', 'cold cure', 'kr', 'na']","['physical', 'joint', 'cold']",The Body Keeps the Score by Bessel van der Kolk (book)
41,"b'i am sickening (chills, fever, nausea, headaches) https://t.co/vpj8ulk91u'",fever,sickening chill fever nausea headache,1,-0.9,Negative,"['chill', 'headache']",[],Dress in Light Clothing.
42,b'seem to have a fever today.\n\nno nausea at least but the sweating and shaking is pretty bad. throat is improving',fever,seem fever today.  no nausea least sweating shaking pretty bad throat improving,0.688888889,-0.25,Negative,"['seem', 'today', 'no nausea', 'bad throat']","['least', 'bad']",Dress in Light Clothing.
43,b'diarrhea diagnosis and treatment.\n\nsymptoms:\n\nabdominal pain\nfever\nnausea\nvomiting\n\nbook an appointment today... https://t.co/eujsavuyc8',fever,diarrhea diagnosis treatment.  symptoms   abdominal pain fever nausea vomiting  book appointment today ,0,0,Neutral,"['diarrhea diagnosis', 'treatment', 'abdominal pain', 'fever', 'nausea', 'book', 'appointment', 'today']","['diarrhea', 'abdominal']","10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge"
44,"b'#kidneystones associated symptoms include: nausea, vomiting, fever, blood in the urine, pus in the urine, and painful urination.'",fever,kidneystones associated symptom include nausea vomiting fever blood urine pu urine painful urination,0.9,-0.7,Negative,"['fever', 'blood', 'urine pu', 'urine painful urination']","['symptom', 'nausea', 'urine', 'urine', 'painful']",Dress in Light Clothing.
45,"b' body aches, fever, cough, nausea, phlegm and shivers. '",fever,body ache fever cough nausea phlegm shiver,0,0,Neutral,"['body', 'ache', 'cough nausea', 'phlegm', 'shiver']",['cough'],"The Mindful Way Through Depression by Mark Williams, John Teasdale, Zindel Segal, and Jon Kabat-Zinn (book)"
46,"b'@xclarisuh yup its a virus going around  throwing up,diarrhea,nausea??? possible fever??'",fever,yup virus going around throwing diarrhea nausea possible fever,1,0,Neutral,"['yup', 'virus', 'diarrhea', 'nausea', 'possible fever']",['possible'],The Desire Map: A Guide to Creating Goals with Soul by Danielle LaPorte (book)
47,"b'@frederickleath5 @healthbyjames i did not get "" the shots."" tested positive sept 1, 2022. only 3 symptoms: fever, n... https://t.co/fsq31wqain'",fever,get   shot   tested positive sept symptom fever n ,0.545454545,0.227272727,Positive,"['positive sept', 'symptom', 'fever', 'n']","['shot', 'positive']",Join a yoga class or a meditation group
48,b'early symptoms of hiv can include:\n-fever\n-chills\n-swollen lymph nodes\n-general aches and pains\n-skin rash\n-sore th... https://t.co/6gn1i6sryu',fever,early symptom hiv include   fever  chills  swollen lymph nodes  general ache pains  skin rash  sore th ,0.3,0.1,Positive,"['symptom hiv', 'fever', 'nodes general ache', 'rash', 'sore', 'th']","['symptom', 'nodes', 'general']",join a community service project or volunteer for a cause they care about
49,b'just got done and am wait for medic transport to take me back home. already feeling the chemo fever and nausea. whi... https://t.co/ihbl828mqe',fever,just got done wait medic transpotake back home already feeling chemo fever nausea whi ,0,0,Neutral,"['wait', 'home', 'chemo', 'fever', 'nausea', 'whi']",[],The Seven Spiritual Laws of Success by Deepak Chopra (book)
50,"b""@steviewildcard there's a 2 day bug going around my house. sore throat, fever, and nausea. i'm sure i'm next """,fever,  's day bug going around house sore throat fever nausea 'm sure 'm next  ,0.444444444,0.25,Positive,"['day', 'house', 'throat', 'fever', 'nausea']","['sure', 'next']",The Alchemist by Paulo Coelho (book)
51,b'the initial symptoms of low to moderate carbon monoxide (co) poisoning are similar to the flu but without the fever... https://t.co/k2ihw39f9g',fever,the initial symptom low moderate carbon monoxide co poisoning similar flu without fever ,0.35,0,Neutral,"['the initial symptom', 'low moderate carbon', 'monoxide', 'co', 'similar flu', 'fever']","['initial', 'low', 'moderate', 'similar']",Mindful Eating Course by The Center for Mindful Eating (online course)
52,"b'im so confuse w/ my body. i been feeling sick on &amp; off since the weekend. but no running fevers, just body aches,... https://t.co/ewvqh7lmto'",fever,im confuse w  body feeling sick amp since weekend running fever body ache ,0.857142857,-0.714285714,Negative,"['im', 'confuse', 'w', 'body', 'sick amp', 'weekend', 'body', 'ache']",['sick'],Dress in Light Clothing.
53,b'rt @jithinmarottik: @starhealthins @irdaindia generic back ache considered as pre existing n claims denied. tmrw any symptoms like fever an...',fever, generic back ache considered pre existing n claim denied tmrw symptom like fever ,0,0,Neutral,"['ache', 'n claim', 'tmrw symptom', 'fever']","['generic', 'pre', 'n', 'tmrw']",The Desire Map: A Guide to Creating Goals with Soul by Danielle LaPorte (book)
54,"b'-fever:\n\nthe pain, the nausea and vomiting can result into fever and its accompanied by headaches and delirium.\n\ny... https://t.co/yinqhn7o0m'",fever, fever   the pain nausea vomiting result fever accompanied headache delirium.  y ,0,0,Neutral,"['the pain', 'nausea', 'result', 'headache', 'delirium', 'y']",[],The Seven Spiritual Laws of Success by Deepak Chopra (book)
55,"b'@nkaty2012 @mateboho_ml nna my withdrawal symptoms are intense.\nnausea, fever, dizziness '",fever,nna withdrawal symptom intense. nausea fever dizziness,0,0,Neutral,"['withdrawal', 'nausea', 'fever', 'dizziness']","['symptom', 'intense']",The Gifts of Imperfection by Brené Brown (book)
56,"b'a bit more about the virus:\n\nsymptoms included fever, headache, jaundice (yellowing of skin &amp; eyes), muscle pain, n... https://t.co/y45fmd6r3y'",fever,bit virus   symptoms included fever headache jaundice yellowing skin amp eye muscle pain n ,0,0,Neutral,"['bit', 'virus', 'headache jaundice', 'skin', 'amp', 'eye', 'muscle', 'pain', 'n']",['headache'],Join a yoga class or a meditation group
57,"b'symptoms can include stomach cramps, bloating, nausea, and fever. \n\ntreatment options include drinking plenty of fl... https://t.co/madojub48w'",fever,symptoms include stomach cramp bloating nausea fever   treatment option include drinking plenty fl ,0,0,Neutral,"['stomach cramp', 'nausea', 'fever', 'treatment', 'option', 'plenty', 'fl']",['stomach'],The Body Keeps the Score by Bessel van der Kolk (book)
58,"b'a patient is accompanied by his friend to the clinic on account of headache, ""fever"" &amp; nausea. he is seen by the dr... https://t.co/c8axokxr17'",fever,patient accompanied friend clinic account headache   fever   amp nausea seen dr ,0,0,Neutral,"['patient', 'friend', 'clinic', 'account', 'headache', 'fever', 'amp', 'nausea', 'dr']",[],The Art of Happiness by Dalai Lama XIV and Howard C. Cutler (book)
59,b'@partohthegreat persistent headache\nfevers\nchills\njoint pains \ngbw\nnausea \netc',fever,persistent headache fevers chills joint pain  gbw nausea  etc,0,0,Neutral,"['persistent headache', 'joint pain', 'gbw', 'nausea', 'etc']","['persistent', 'joint']",The War of Art: Break Through the Blocks and Win Your Inner Creative Battles by Steven Pressfield (book)
60,"b'@piper4missouri a friend of mine over 65 recently experienced extreme nausea, dizziness, &amp; fever. after hours sitti... https://t.co/26lz3l7ryb'",fever,friend mine recently experienced extreme nausea dizziness amp fever hour sitti ,0.95,0.3375,Positive,"['friend', 'mine', 'extreme nausea', 'dizziness', 'amp', 'hour', 'sitti']",['extreme'],Join a yoga class or a meditation group
61,"b'pergi kerja feeling feverish, having dysmenorrhoea and nausea. took painkiller, relieved a bit and for awhile, want... https://t.co/psjpzg4d6a'",fever,pergi kerja feeling feverish dysmenorrhoea nausea took painkiller relieved bit awhile want ,0.4,-0.1,Negative,"['pergi', 'kerja', 'feverish dysmenorrhoea', 'nausea', 'painkiller', 'relieved bit', 'awhile want']","['feverish', 'relieved', 'awhile']",Dress in Light Clothing.
62,"b'@abc products distributed in conn., dc, maryland, mass., nj, ny, nc, penn., sc., va.\n\nsymptoms:  high fever, severe... https://t.co/1ejiueilse'",fever,product distributed conn. dc maryland mass . nj ny nc penn . sc . va.  symptoms high fever severe ,0.54,0.16,Positive,"['product', 'conn. dc', 'maryland', 'mass', 'nj ny nc', 'penn', 'sc', 'va.', 'high fever']","['conn.', 'nj', 'ny', 'high', 'severe']","The Mindful Way Through Depression by Mark Williams, John Teasdale, Zindel Segal, and Jon Kabat-Zinn (book)"
63,"b'@jfrechmann @tonysandersu46 @awake_il the child is obviously ill to the point of having a fever and nausea, why wou... https://t.co/vgkobfyzym'",fever,child obviously ill point fever nausea wou ,1,-0.5,Negative,"['child', 'ill point', 'fever', 'nausea', 'wou']",['ill'],Dress in Light Clothing.
64,"b'@healthbyjames had it in oct of 21 while in st lucia. quarantined at the resort 10 days, felt like death w/fever,... https://t.co/b2geoixjdn'",fever,oct st lucia quarantined resoday felt like death w fever ,0,0,Neutral,"['oct st', 'lucia', 'death', 'w', 'fever']","['oct', 'resoday']",The Way of Zen by Alan Watts (book)
65,b'nausea\n\nvomiting\n\ndiarrhea\n\nstomach cramps\n\nheadache\n\nfever\n\nbody aches https://t.co/9ow6nhvvwb',fever,nausea  vomiting  diarrhea  stomach cramps  headache  fever  body ache,0,0,Neutral,"['nausea', 'diarrhea stomach', 'body', 'ache']",['diarrhea'],The Power of Vulnerability Course by Brené Brown (online course)
66,b'and the feverish4 anxiety incident to betting other 56 toefl110+ ielts7.5+  gre305+  gmat780+  sat1565+  act35+... https://t.co/4aff9mtsa9',fever,and feverish anxiety incident betting toefl+ ielts.+ gre+ gmat+ sat+ act+ ,0.4,-0.1,Negative,"['feverish anxiety', 'incident', 'toefl+ ielts.+', 'gre+', 'gmat+', 'sat+', 'act+']","['feverish', 'toefl+']",Dress in Light Clothing.
67,b'@ricchfever @theejoeyy yall dont understand this is dangerous because your reckless drive causes people to have a... https://t.co/dfydpb9lxt',fever,yall dont understand dangerous reckless drive cause people ,0.9,-0.6,Negative,"['dangerous reckless drive', 'cause']","['dont', 'dangerous', 'reckless']",Dress in Light Clothing.
68,"b'pour me water, holy water quench this fever'",fever,pour water holy water quench fever,0,0,Neutral,"['pour water', 'holy water', 'quench', 'fever']","['pour', 'holy']",Authentic Happiness by Martin Seligman (book)
69,b'@phillycrimeupd wait til jungle fever hits this summer.....its going to be a record breaking year of trash shooting trash!',fever,wait til jungle fever hit summer .. going record breaking year trash shooting trash,0,0,Neutral,"['wait', 'til', 'jungle', 'fever', 'summer', 'record', 'year', 'trash', 'shooting', 'trash']",[],The Science of Happiness Course by UC Berkeley (online course)
70,"b""had a funny thought while listening to a song \n\nbeau &amp; valentine at a disco dancing to 'night fever' by adam garci... https://t.co/xnzrm3xogl""",fever,  funny thought listening song   beau amp valentine disco dancing 'night fever adam garci ,1,0.25,Positive,"['song', 'beau', 'amp', 'valentine', 'disco', 'fever', 'adam', 'garci']",['funny'],start a gratitude journal to write down three things they are grateful for each day
71,b'when iiiiiiiiiii was a child......i had a fever......\n\nmy hands felt just like...two big ballooooons...... https://t.co/xgjzpp4h28',fever,when iiiiiiiiiii child  fever    my hand felt like  two big ballooooons ,0.1,0,Neutral,"['iiiiiiiiiii', 'child', 'fever', 'hand']",['big'],Join a yoga class or a meditation group
72,"b""usually i would be angry with all the sh t takes on this app but last time i checked i had 39.8 in fever so i'm jus... https://t.co/jrc97ytfbk""",fever,  usually would angry sh take app last time checked fever 'm jus ,0.438888889,-0.25,Negative,"['app', 'last time', 'jus']","['sh', 'last']",Dress in Light Clothing.
73,"b'rt @primary_immune: patient 1 : 9 year-old boy: from infancy -&gt; oral lesions, recurrent fever, diarrhea, vomiting, atopic dermatitis...\npa...'",fever, patient year old boy infancy gt oral lesion recurrent fever diarrhea vomiting atopic dermatitis   pa ,0,0,Neutral,"['patient year', 'old boy', 'infancy', 'gt oral lesion', 'recurrent', 'fever', 'diarrhea', 'atopic dermatitis', 'pa']","['patient', 'old', 'gt', 'oral', 'atopic']",A Course in Miracles by Foundation for Inner Peace (book)
74,b'the truth is out there: ufo fever grips congress - politico https://t.co/5voap5kd9z',fever,the truth ufo fever grip congress politico,0,0,Neutral,"['the truth', 'ufo fever', 'grip', 'congress', 'politico']",['ufo'],The Artist's Way: A Spiritual Path to Higher Creativity by Julia Cameron (book)
75,"b'patient 1 : 9 year-old boy: from infancy -&gt; oral lesions, recurrent fever, diarrhea, vomiting, atopic dermatitis..... https://t.co/6afehj42lh'",fever,patient year old boy infancy gt oral lesion recurrent fever diarrhea vomiting atopic dermatitis ..,0,0,Neutral,"['patient year', 'old boy', 'infancy', 'gt oral lesion', 'recurrent', 'fever', 'diarrhea', 'atopic dermatitis', '..']","['patient', 'old', 'gt', 'oral', 'atopic']",The Desire Map: A Guide to Creating Goals with Soul by Danielle LaPorte (book)
76,"b""spent valentine's day with a huge fever and headaches, fun!""",fever,  spent valentine 's day huge fever headache fun  ,0.4,0.2,Positive,"['spent valentine', 'day', 'huge fever', 'headache', 'fun']","['spent', 'huge']",The Self-Acceptance Project Course by Sounds True (online course)
77,"b""i burn!\ncan't hold me now\nyou got nothing that can stop me\ni burn!\nswing all you want\nlike a fever, i will take you down""",fever,  burn  ca n't hold now you got nothing stop me i burn  swing want like fever take  ,0,0,Neutral,"['burn', 'nothing']",['i'],Authentic Happiness by Martin Seligman (book)
78,b'rt @peeliwg: @goldsbie had a condo property manager who had no sick days. he developed a persistent fever over 2 wks yet had no choice but...',fever, condo property manager sick day developed persistent fever wks yet choice ,0.578571429,-0.307142857,Negative,"['condo property', 'manager', 'sick day', 'persistent fever', 'wks', 'choice']","['condo', 'sick', 'persistent']",Dress in Light Clothing.
79,"b'thank you, lee mergner, for this marvelous wbgo interview about my new cd ""fever: a peggy lee celebration!"" ""https://t.co/hif453a3nb'",fever,thank lee mergner marvelous wbgo interview new cd   fever peggy lee celebration    ,0.727272727,0.568181818,Positive,"['thank', 'lee', 'interview', 'new cd', 'fever', 'peggy', 'lee', 'celebration']","['marvelous', 'new']",Mindfulness-Based Stress Reduction Course 
