,Unnamed: 0,Tweet,tags,Cleaned_tweet,Subjectivity,Polarity,Sentiment,Noun_phrases,Adjectives,final,recommend,symptoms1
147,147,"b""rt @thiswitchwrites: okay i'm still sick and maybe have a fever and so i tried writing from bed, fell down a research rabbit hole instead a...""",fever,  okay 'm still sick maybe fever tried writing bed fell research rabbit hole instead   ,0.678571429,-0.107142857,Negative,"['okay', 'bed', 'research', 'rabbit', 'hole']","['sick', 'tried']",Dress in Light Clothing.,Dress in Light Clothing.,No
154,154,"b""i'm feeling cold today , i hope i'm not coming down with fever , my sinusitis are inflamed . i'm craving mala mogodu """,fever,  'm feeling cold today hope 'm coming fever sinusitis inflamed 'm craving mala mogodu  ,1.0,-0.6,Negative,"['cold', 'today', 'sinusitis', 'mala', 'mogodu']",[],Dress in Light Clothing.,Dress in Light Clothing.,No
170,170,"b'i was suffering from a strange fever and cough for the past week, so was inactive in the fandom. now yesterday it g... https://t.co/ou7svr6ikb'",fever,suffering strange fever cough past week inactive fandom yesterday g ,0.2,-0.15,Negative,"['cough', 'week', 'inactive fandom', 'yesterday', 'g']","['strange', 'inactive']",Dress in Light Clothing.,Dress in Light Clothing.,No
182,182,b'rt @bhargav0315: during brucelee movie time title song ni single night lo finish chesadu fever unna kooda &amp; srk visited that song sets and...',fever, brucelee movie time title song ni single night lo finish chesadu fever unna kooda amp srk visited song set ,0.214285714,-0.071428571,Negative,"['brucelee movie', 'time', 'title', 'song', 'single night', 'lo', 'finish chesadu', 'fever', 'unna kooda', 'amp', 'srk', 'song', 'set']","['brucelee', 'single', 'finish', 'unna']",Dress in Light Clothing.,Dress in Light Clothing.,No
185,185,b'i saw this on my fyp drunk as fuck and thought i was having like a fever dream what is she doing there https://t.co/phvbpyz3lx',fever,saw fyp drunk fuck thought like fever dream,0.8,-0.45,Negative,"['saw', 'fever', 'dream']",['drunk'],Dress in Light Clothing.,Dress in Light Clothing.,No
190,190,b'i have very unfortunate baby fever.',fever,unfortunate baby fever,1.0,-0.5,Negative,"['unfortunate baby', 'fever']",['unfortunate'],Dress in Light Clothing.,Dress in Light Clothing.,No
196,196,b'@poizenjam @jennyenicholson one time i was sick and sleep deprived too the point of experiencing a waking fever dre... https://t.co/9ozyw9y2qi',fever,one time sick sleep deprived point experiencing waking fever dre ,0.857142857,-0.714285714,Negative,"['time', 'sick sleep', 'point', 'fever', 'dre']",['sick'],Dress in Light Clothing.,Dress in Light Clothing.,No
202,202,"b""holy fuck, fever's a bitch""",fever,  holy fuck fever 's bitch  ,0.6,-0.4,Negative,"['fever', 'bitch']",['holy'],Dress in Light Clothing.,Dress in Light Clothing.,No
205,205,"b""@shubhammishra24 occasion? or random ? or valentine's fever ?""",fever,  occasion random valentine 's fever  ,0.5,-0.5,Negative,"['occasion', 'valentine', 'fever']",[],Dress in Light Clothing.,Dress in Light Clothing.,No
210,210,b'guilty eyes fever',fever,guilty eye fever,1.0,-0.5,Negative,"['guilty eye', 'fever']",['guilty'],Dress in Light Clothing.,Dress in Light Clothing.,No
221,221,b'the truth is out there: ufo fever grips congress https://t.co/xvud16zegm via @politico oh good grief. congress is t... https://t.co/3uki2wmiwk',fever,the truth ufo fever grip congress via oh good grief congress ,0.4,-0.05,Negative,"['the truth', 'ufo fever', 'grip', 'congress', 'good grief', 'congress']","['ufo', 'good']",Dress in Light Clothing.,Dress in Light Clothing.,No
224,224,"b'@sciencemarilyn im very confused with your question, but that entire production was a fever dream, so im going to... https://t.co/imd1rlhrv2'",fever,im confused question entire production fever dream im going ,0.6625,-0.2,Negative,"['im', 'question', 'entire production', 'fever', 'dream', 'im']",['entire'],Dress in Light Clothing.,Dress in Light Clothing.,No
230,230,"b""rt @t_realist233: sorry for the lack of updates. i've been really sick lately. i woke up with a 102.2 fever today. streams will be postpone...""",fever,  sorry lack update 've really sick lately woke fever today stream postpone   ,0.819047619,-0.504761905,Negative,"['sorry lack', 'today', 'stream', 'postpone']","['sorry', 'update', 'sick']",Dress in Light Clothing.,Dress in Light Clothing.,No
240,240,b'yall pray for my health and also that i pass my exam tomorrow  i had fever since morning and couldnt study shit... https://t.co/grz2sl5ooo',fever,yall pray health also pas exam tomorrow fever since morning couldnt study shit ,0.8,-0.2,Negative,"['pray', 'health', 'exam tomorrow', 'fever', 'morning', 'couldnt', 'study']",['exam'],Dress in Light Clothing.,Dress in Light Clothing.,No
245,245,"b'bring the mixtape cabin fever and kush and oj to apple music, idk what this remix shit is'",fever,bring mixtape cabin fever kush oj apple music idk remix shit,0.8,-0.2,Negative,"['bring', 'mixtape', 'cabin', 'fever', 'kush', 'oj', 'apple', 'music', 'idk', 'remix', 'shit']",[],Dress in Light Clothing.,Dress in Light Clothing.,No
246,246,"b'life has been one long fever dream since march of 2020\n\nwhen i think ""how can things get worse than this"" i\'m shown... https://t.co/c1urcxgdcy'",fever,life one long fever dream since march   when think   thing get worse   i\ 'm shown ,0.5,-0.225,Negative,"['life', 'long fever', 'dream', 'march', 'thing', 'get', 'i\\']","['long', 'worse']",Dress in Light Clothing.,Dress in Light Clothing.,No
260,260,"b""@merenotilde oh no! hope this fever doesn't funk you up too bad.\n\nalright sorry. wishing you a speedy recovery mere!!""",fever,  oh hope fever n't funk bad.  alright sorry wishing speedy recovery mere  ,0.75,-0.5,Negative,"['hope', 'alright', 'sorry', 'speedy recovery', 'mere']","['funk', 'bad', 'speedy']",Dress in Light Clothing.,Dress in Light Clothing.,No
281,281,b'my poor baby has scarlett fever ',fever,my poor baby scarlett fever,0.6,-0.4,Negative,"['poor baby', 'scarlett', 'fever']",['poor'],Dress in Light Clothing.,Dress in Light Clothing.,No
282,282,b'@cartermurphy218 haha thanks! and yes a high fever is the absolute worst',fever,haha thanks yes high fever absolute worst,0.588,-0.048,Negative,"['high fever', 'absolute']","['haha', 'high', 'worst']",Dress in Light Clothing.,Dress in Light Clothing.,No
286,286,"b""@rainmaker1973 'cause i've got pac-man fever (pac-man fever)\nit's driving me crazy (driving me crazy)\ni've got pac... https://t.co/nmlhf3qmez""",fever,  'cause 've got pac man fever pac man fever  it 's driving crazy driving crazy  i 've got pac ,0.9,-0.6,Negative,"['pac man', 'fever', 'man', 'fever', 'crazy i']","['pac', 'crazy', 'crazy']",Dress in Light Clothing.,Dress in Light Clothing.,No
289,289,"b""i've got a fever, and the only cure is more dead angels! #mariabot""",fever,  've got fever cure dead angel mariabot  ,0.4,-0.2,Negative,"['fever cure', 'dead angel', 'mariabot']","['fever', 'dead']",Dress in Light Clothing.,Dress in Light Clothing.,No
295,295,b'hard to sleep .. because this is a reality feels like a fever dream',fever,hard sleep .. reality feel like fever dream,0.541666667,-0.291666667,Negative,"['hard sleep', '..', 'reality', 'fever', 'dream']",['hard'],Dress in Light Clothing.,Dress in Light Clothing.,No
300,300,b'had ice cream yesterday and now im with 102 fever i hate myself',fever,had ice cream yesterday im fever hate,0.9,-0.8,Negative,"['ice', 'cream', 'yesterday', 'fever', 'hate']",[],Dress in Light Clothing.,Dress in Light Clothing.,No
301,301,"b'you are a fever i am learning to live with, and everything is happening at the wrong end of a very long tunnel.'",fever,you fever learning live everything happening wrong end long tunnel,0.6,-0.137878788,Negative,"['everything', 'wrong end', 'tunnel']",['wrong'],Dress in Light Clothing.,Dress in Light Clothing.,No
303,303,"b'somehow caught a bad case of a cold with mild fever (no, not covid). staying in bed and nursing myself back to bett... https://t.co/mszks6trrp'",fever,somehow caught bad case cold mild fever covid staying bed nursing back bett ,0.541666667,-0.241666667,Negative,"['caught bad case', 'cold mild', 'fever', 'covid', 'bett']","['caught', 'bad', 'cold']",Dress in Light Clothing.,Dress in Light Clothing.,No
328,328,b'@barca_fever @managingbarca @jacobsben no one is paying 15 million for that useless bencher \nimagine being a benche... https://t.co/bzinkhm6at',fever,one paying million useless bencher  imagine benche ,0.2,-0.5,Negative,"['imagine', 'benche']",['useless'],Dress in Light Clothing.,Dress in Light Clothing.,No
334,334,"b'rt @erarasendriya: cooking some 1/1 banner thematically,futuristic cardano town ..\ni got fever,and cold will will drop it tomorrow fams.....'",fever, cooking banner thematically futuristic cardano town ..  i got fever cold drop tomorrow fams ..,1.0,-0.6,Negative,"['banner', 'futuristic cardano', 'town', '..', 'i', 'cold drop', 'tomorrow']","['futuristic', 'cold']",Dress in Light Clothing.,Dress in Light Clothing.,No
337,337,b'finally on the back end of a terrible 5 day fever phase that dropped me . nothing a good pair of vaccines from mexico wont fix .',fever,finally back end terrible day fever phase dropped nothing good pair vaccine mexico wont fix,0.533333333,-0.1,Negative,"['end', 'terrible day', 'phase', 'nothing', 'good pair', 'vaccine', 'mexico', 'wont', 'fix']","['terrible', 'good']",Dress in Light Clothing.,Dress in Light Clothing.,No
339,339,b'something is wrong with me cause why does my heart feel heavy and i start getting emotional whenever i mention the word trigger the fever',fever,something wrong cause heafeel heavy stagetting emotional whenever mention word trigger fever,0.683333333,-0.233333333,Negative,"['something', 'wrong cause', 'heafeel', 'mention', 'word', 'trigger', 'fever']","['wrong', 'heavy', 'emotional']",Dress in Light Clothing.,Dress in Light Clothing.,No
345,345,b'@pentagonclo @historyinmemes that movie is a fucking fever dream',fever,movie fucking fever dream,0.8,-0.6,Negative,"['movie', 'fever', 'dream']",[],Dress in Light Clothing.,Dress in Light Clothing.,No
356,356,"b'@taylorswetcooch no but she has 9 diamond songs in france : stbl, no lie, fever, dsn, cold heart, love again, new r... https://t.co/deptco6fry'",fever,diamond song france stbl lie fever dsn cold healove new r ,0.727272727,-0.231818182,Negative,"['diamond', 'song', 'france', 'stbl', 'lie', 'fever', 'dsn', 'new r']",['new'],Dress in Light Clothing.,Dress in Light Clothing.,No
371,371,"b""-i be having baby fever so bad , but i still feel like i'm not ready !!""",fever,   i baby fever bad still feel like 'm ready  ,0.583333333,-0.25,Negative,"['i', 'baby', 'fever']","['bad', 'ready']",Dress in Light Clothing.,Dress in Light Clothing.,No
372,372,"b""@forfun84374827 @alienwrench with how bad this one's fever is, yeah. \n\na whole mess of babies need to even attempt to calm this one.""",fever,  bad one 's fever yeah   a whole mess baby need even attempt calm one  ,0.497916667,-0.09375,Negative,"['fever', 'a whole mess', 'baby', 'one']","['bad', 'whole', 'calm']",Dress in Light Clothing.,Dress in Light Clothing.,No
384,384,"b""fox has woken up from her nap doing a little better but i'm sick guys i'm sorry i have a fever and like a cold or s... https://t.co/htot28e3ht""",fever,  fox woken nap little better 'm sick guy 'm sorry fever like cold ,0.771428571,-0.300357143,Negative,"['fox', 'sick guy', 'sorry fever', 'cold']","['nap', 'little', 'better', 'sick', 'sorry']",Dress in Light Clothing.,Dress in Light Clothing.,No
389,389,"b'22200qqsxx at, in fever, as long as there is life  #nft'",fever,qqsxx fever long life nft,0.4,-0.05,Negative,"['life', 'nft']",[],Dress in Light Clothing.,Dress in Light Clothing.,No
399,399,b'are all the thousands of non plory little sevens voting on this gonna actually tune in for cabin fever or the cover... https://t.co/svnojppvap',fever,are thousand non plory little seven voting gon na actually tune cabin fever cover ,0.3,-0.09375,Negative,"['gon', 'cabin fever', 'cover']","['non', 'plory', 'little', 'cabin']",Dress in Light Clothing.,Dress in Light Clothing.,No
409,409,"b'@randsco mine got covid 2x on campus last yr. day 6 she told nurse still really ill, fever, testing +. nurse said 5... https://t.co/yquhrtg8sq'",fever,mine got covid x campus last yr. day told nurse still really ill fever testing nurse said ,0.533333333,-0.25,Negative,"['mine', 'campus', 'last yr. day', 'nurse']","['covid', 'last', 'yr.', 'nurse']",Dress in Light Clothing.,Dress in Light Clothing.,No
410,410,b'@batman326 we want to wait and enjoy the time without kids but the baby fever for us both is really bad haha \nwe de... https://t.co/spigjqkrhy',fever,want wait enjoy time without kid baby fever u really bad haha  we de ,0.488888889,-0.033333333,Negative,"['want wait', 'enjoy', 'time', 'kid', 'baby', 'fever', 'bad haha']","['want', 'u', 'bad']",Dress in Light Clothing.,Dress in Light Clothing.,No
424,424,"b""@megamadvlad is that the fucking game about sega being a world dominating bad company cause holy shit that's a fever dream game""",fever,  fucking game sega world dominating bad company cause holy shit 's fever dream game  ,0.566666667,-0.425,Negative,"['game', 'sega world', 'bad company', 'cause', 'holy', 'shit', 'fever', 'dream', 'game']","['sega', 'bad']",Dress in Light Clothing.,Dress in Light Clothing.,No
425,425,"b'my autocorrect changed hay fever to gay fever, well it aint wrong!'",fever,my autocorrect changed hay fever gay fever well aint wrong,0.741666667,-0.041666667,Negative,"['autocorrect', 'hay', 'fever', 'gay']",['wrong'],Dress in Light Clothing.,Dress in Light Clothing.,No
473,473,"b'its like im constantly sick these days, this is actually the second time ive got a fever  i cant hear anything on my right ear'",fever,its like im constantly sick day actually second time ive got fever cant hear anything right ear,0.464285714,-0.142857143,Negative,"['im', 'sick day', 'second time', 'anything', 'right ear']","['sick', 'second', 'ive', 'cant', 'right']",Dress in Light Clothing.,Dress in Light Clothing.,No
479,479,b'i usually dont get baby fever. but this baby in la colombe just did it for me ',fever,usually dont get baby fever baby la colombe,0.25,-0.25,Negative,"['baby fever', 'baby', 'la', 'colombe']","['dont', 'baby']",Dress in Light Clothing.,Dress in Light Clothing.,No
483,483,"b""guess who ate junk food middle of fever \nyes that's my lame ass""",fever,  guess ate junk food middle fever  yes 's lame as  ,0.375,-0.25,Negative,"['guess', 'junk', 'food', 'middle fever', 'lame']",['middle'],Dress in Light Clothing.,Dress in Light Clothing.,No
487,487,b'during brucelee movie time title song ni single night lo finish chesadu fever unna kooda &amp; srk visited that song se... https://t.co/wwroshcpkn',fever,during brucelee movie time title song ni single night lo finish chesadu fever unna kooda amp srk visited song se ,0.214285714,-0.071428571,Negative,"['brucelee movie', 'time', 'title', 'song', 'single night', 'lo', 'finish chesadu', 'fever', 'unna kooda', 'amp', 'srk', 'song se']","['brucelee', 'single', 'finish', 'unna', 'song']",Dress in Light Clothing.,Dress in Light Clothing.,No
489,489,b'during brucelee movie time title song ni single night lo finish chesadu fever unna kooda &amp; srk visited that song se... https://t.co/fgxbjzihx1',fever,during brucelee movie time title song ni single night lo finish chesadu fever unna kooda amp srk visited song se ,0.214285714,-0.071428571,Negative,"['brucelee movie', 'time', 'title', 'song', 'single night', 'lo', 'finish chesadu', 'fever', 'unna kooda', 'amp', 'srk', 'song se']","['brucelee', 'single', 'finish', 'unna', 'song']",Dress in Light Clothing.,Dress in Light Clothing.,No
492,492,b'i got baby fever  real bad ',fever,got baby fever real bad,1.0,-1.0,Negative,[],"['fever', 'real', 'bad']",Dress in Light Clothing.,Dress in Light Clothing.,No
497,497,"b'rt @purplebliss0315: cabin fever means fret, alienation, claustrophobia, you could even say feeling antsy. so, this album has the message...'",fever, cabin fever mean fret alienation claustrophobia could even say feeling antsy album message ,0.6875,-0.3125,Negative,"['cabin', 'fever', 'fret alienation', 'claustrophobia', 'antsy album', 'message']","['fret', 'antsy']",Dress in Light Clothing.,Dress in Light Clothing.,No
503,503,b'#nowplaying laughing in slow motion - cabin fever https://t.co/cxc3i2qokb',fever,nowplaying laughing slow motion cabin fever,0.4,-0.3,Negative,"['slow motion', 'cabin', 'fever']",['slow'],Dress in Light Clothing.,Dress in Light Clothing.,No
504,504,b'@ayenswife omg i have that game too ive been recently playing cooking fever and the sims',fever,omg game ive recently playing cooking fever sims,0.325,-0.2,Negative,"['omg game', 'fever']","['omg', 'ive']",Dress in Light Clothing.,Dress in Light Clothing.,No
507,507,b'this is a fucking fever dream bro https://t.co/smvbe3j3vy',fever,this fucking fever dream bro,0.8,-0.6,Negative,"['this fucking', 'fever', 'dream', 'bro']",[],Dress in Light Clothing.,Dress in Light Clothing.,No
509,509,"b""@northern_fever @lion20_sa @moscow_english it's exactly because russians are barbarians that we must do the opposit... https://t.co/qcxs2nefmg""",fever,  's exactly russian barbarian must opposit ,0.475,-0.35,Negative,['russian barbarian'],['russian'],Dress in Light Clothing.,Dress in Light Clothing.,No
510,510,b'during brucelee movie time title song ni single night lo finish chesadu fever unna kooda &amp; srk visited that song se... https://t.co/xuz7kkvkrd',fever,during brucelee movie time title song ni single night lo finish chesadu fever unna kooda amp srk visited song se ,0.214285714,-0.071428571,Negative,"['brucelee movie', 'time', 'title', 'song', 'single night', 'lo', 'finish chesadu', 'fever', 'unna kooda', 'amp', 'srk', 'song se']","['brucelee', 'single', 'finish', 'unna', 'song']",Dress in Light Clothing.,Dress in Light Clothing.,No
515,515,b'@unknowncei i apologize for bringing it up so randomly it was such a fever dream https://t.co/kyavuntz9z',fever,apologize bringing randomly fever dream,0.5,-0.5,Negative,['dream'],[],Dress in Light Clothing.,Dress in Light Clothing.,No
523,523,b'rt @equityaxis: boom or bust: industry doubtful about 2023 growth prospects\n\nelections fever is triggering more panic to companies\ndu...',fever, boom bust industry doubtful growth prospects  elections fever triggering panic companies du ,0.9,-0.8,Negative,"['boom', 'bust', 'industry', 'doubtful growth', 'panic']",['doubtful'],Dress in Light Clothing.,Dress in Light Clothing.,No
528,528,b'did you know that a fever helps activate immune cells when you have an infection? the most common question i get is... https://t.co/aiytjs99ao',fever,did know fever help activate immune cell infection common question get ,0.5,-0.3,Negative,"['fever', 'help', 'immune', 'cell', 'infection', 'common question', 'get']",['common'],Dress in Light Clothing.,Dress in Light Clothing.,No
529,529,b'thats the last of the cutesy valentines post ill do. i am an ultra macho fever dream.',fever,thats last cutesy valentine post ill ultra macho fever dream,0.533333333,-0.25,Negative,"['last cutesy valentine', 'post', 'ill', 'ultra macho', 'fever', 'dream']","['last', 'cutesy', 'ultra']",Dress in Light Clothing.,Dress in Light Clothing.,No
532,532,b'woke up this morning with a couple lines of fever and it has gotten so much worse that i .... i will spare the deta... https://t.co/7bxqbcugnq',fever,woke morning couple line fever gotten much worse . spare deta ,0.6,-0.4,Negative,"['woke', 'morning', 'couple', 'line', 'spare deta']","['much', 'worse', 'spare']",Dress in Light Clothing.,Dress in Light Clothing.,No
545,545,b'rt @fnfbestcontent: common biddle banger\n\nsong: princess - friday night fever: frenzy https://t.co/d2npmmxf2g',fever, common biddle banger  song princess friday night fever frenzy,0.5,-0.3,Negative,"['common biddle', 'banger', 'song', 'princess', 'friday', 'night', 'fever', 'frenzy']",['common'],Dress in Light Clothing.,Dress in Light Clothing.,No
547,547,b'i wonder do other moms experience baby fever after having a baby or am i crazy',fever,wonder mom experience baby fever baby crazy,0.9,-0.6,Negative,"['mom', 'experience', 'baby', 'fever', 'baby', 'crazy']",[],Dress in Light Clothing.,Dress in Light Clothing.,No
548,548,"b'atsukage\n\nthe evil it spread like a fever ahead\nit was night when you died, my firefly\nwhat could i have said to ra... https://t.co/xpwwyfcggf'",fever,atsukage  the evil spread like fever ahead it night died firefly what could said ra ,1.0,-1.0,Negative,"['the evil spread', 'fever', 'night', 'firefly']",['evil'],Dress in Light Clothing.,Dress in Light Clothing.,No
561,561,"b'i am rajalingam,my birth time i white colour,what time fever come to you = dirty air to your nose time,fever time e... https://t.co/ccrt3co5pm'",fever,rajalingam birth time white colour time fever come dirty air nose time fever time e ,0.4,-0.3,Negative,"['birth', 'time', 'white colour time', 'fever', 'dirty', 'air', 'nose time', 'fever time', 'e']","['white', 'colour', 'nose', 'fever']",Dress in Light Clothing.,Dress in Light Clothing.,No
571,571,"b'rt @billynighttrain: matthew 24:7...and there shall be famines,&gt; and pestilences...&lt;\n\nmarburg virus can cause deadly hemorrhagic fever like...'",fever, matthew  shall famine gt pestilence  lt   marburg virus cause deadly hemorrhagic fever like ,0.4,-0.2,Negative,"['matthew', 'gt pestilence', 'lt', 'marburg', 'virus', 'cause', 'fever']",['gt'],Dress in Light Clothing.,Dress in Light Clothing.,No
583,583,"b'china, yellow fever is taking over, everything is broken! turns out poilievre time in government was selling out ca... https://t.co/xislvsqogc'",fever,china yellow fever taking everything broken turn poilievre time government selling ca ,0.2,-0.2,Negative,"['yellow fever', 'everything', 'broken turn', 'poilievre time', 'government']","['yellow', 'broken', 'poilievre']",Dress in Light Clothing.,Dress in Light Clothing.,No
592,592,b'rt @savlaniaajay: #aortaed @rktvascular 13 year old with history of fever for 2 weeks and complaints of back ache after falling from scho...',fever, aortaed year old history fever week complaint back ache falling scho ,0.133333333,-0.066666667,Negative,"['aortaed year', 'old history', 'fever', 'week', 'complaint', 'ache', 'scho']","['aortaed', 'old']",Dress in Light Clothing.,Dress in Light Clothing.,No
