,id,Time,Tweet,tags,pre,words
10,1316235967427084288,2023-02-12 15:18:17+00:00,"b'well my wish came true... body aches, fever, nausea, im miserable '",fever,b well my wish came true body aches fever nausea im miserable,"['b', 'well', 'my', 'wish', 'came', 'true', 'body', 'aches', 'fever', 'nausea', 'im', 'miserable']"
11,318562607,2023-02-12 14:42:22+00:00,"b'catching cold/tropical cold\n\ncause: too much exertion in outdoor activities + bad weather\n\nsymptoms: nausea, fever,... https://t.co/ogr1gcnz7q'",fever,b catching cold tropical cold n ncause too much exertion in outdoor activities bad weather n nsymptoms nausea fever,"['b', 'catching', 'cold', 'tropical', 'cold', 'n', 'ncause', 'too', 'much', 'exertion', 'in', 'outdoor', 'activities', 'bad', 'weather', 'n', 'nsymptoms', 'nausea', 'fever']"
12,2329454670,2023-02-12 03:22:14+00:00,"b'@auntmaggiep fever, nausea, vomiting, bowel issues, weak, dizzy..............'",fever,b fever nausea vomiting bowel issues weak dizzy,"['b', 'fever', 'nausea', 'vomiting', 'bowel', 'issues', 'weak', 'dizzy']"
13,320558416,2023-02-11 23:48:47+00:00,"b""kid got sick and has a high fever and nausea and now i think i'm sick. neat. here's hoping this passes quickly.""",fever,b kid got sick and has a high fever and nausea and now i think i m sick neat here s hoping this passes quickly,"['b', 'kid', 'got', 'sick', 'and', 'has', 'a', 'high', 'fever', 'and', 'nausea', 'and', 'now', 'i', 'think', 'i', 'm', 'sick', 'neat', 'here', 's', 'hoping', 'this', 'passes', 'quickly']"
14,511177454,2023-02-11 20:47:40+00:00,"b'@hatch_shane @laurakronen i had it 3 wks ago. no cough or fever. just really bad headache, nausea.'",fever,b shane i had it 3 wks ago no cough or fever just really bad headache nausea,"['b', 'shane', 'i', 'had', 'it', '3', 'wks', 'ago', 'no', 'cough', 'or', 'fever', 'just', 'really', 'bad', 'headache', 'nausea']"
15,1257376306058182660,2023-02-11 19:46:00+00:00,b'@striepenlab cryptospiridium:\nwatery diarrhea / stomach cramps or pain / dehydration / nausea / vomiting / fever /... https://t.co/ehewtfc52x',fever,b cryptospiridium nwatery diarrhea stomach cramps or pain dehydration nausea vomiting fever,"['b', 'cryptospiridium', 'nwatery', 'diarrhea', 'stomach', 'cramps', 'or', 'pain', 'dehydration', 'nausea', 'vomiting', 'fever']"
16,288115413,2023-02-11 15:30:57+00:00,"b'the shakes. nausea. feverishness. lethargy. cramps. bathroom time. cant keep anything down, even an apple. wow.'",fever,b the shakes nausea feverishness lethargy cramps bathroom time cant keep anything down even an apple wow,"['b', 'the', 'shakes', 'nausea', 'feverishness', 'lethargy', 'cramps', 'bathroom', 'time', 'cant', 'keep', 'anything', 'down', 'even', 'an', 'apple', 'wow']"
17,1210849104265220096,2023-02-11 14:36:00+00:00,"b'typical food poisoning symptoms are fever, headache, nausea, vomiting, abdominal pain and diarrhea.\n\nread more ... https://t.co/8yvjxlgbeo'",fever,b typical food poisoning symptoms are fever headache nausea vomiting abdominal pain and diarrhea n nread more,"['b', 'typical', 'food', 'poisoning', 'symptoms', 'are', 'fever', 'headache', 'nausea', 'vomiting', 'abdominal', 'pain', 'and', 'diarrhea', 'n', 'nread', 'more']"
18,139020039,2023-02-11 13:13:27+00:00,"b'and now im having episodes of body pain, slight fever, sore throat, nausea, and vomiting  yaw q na. si b... https://t.co/yivpzl90np'",fever,b and now im having episodes of body pain slight fever sore throat nausea and vomiting yaw q na si b,"['b', 'and', 'now', 'im', 'having', 'episodes', 'of', 'body', 'pain', 'slight', 'fever', 'sore', 'throat', 'nausea', 'and', 'vomiting', 'yaw', 'q', 'na', 'si', 'b']"
19,171610252,2023-02-11 09:26:53+00:00,b'@ionamckay i had covid last august stuffy/burning nose  loss of taste &amp; smell fever dizzinesss nausea loss of app... https://t.co/9jzvw98li0',fever,b i had covid last august stuffy burning nose loss of taste amp smell fever dizzinesss nausea loss of app,"['b', 'i', 'had', 'covid', 'last', 'august', 'stuffy', 'burning', 'nose', 'loss', 'of', 'taste', 'amp', 'smell', 'fever', 'dizzinesss', 'nausea', 'loss', 'of', 'app']"
20,825339954293252096,2023-02-11 09:14:02+00:00,"b""woke up with high fever and nausea and i just puked if y'all don't see me tweet on here its cause im fighting for my life""",fever,b woke up with high fever and nausea and i just puked if y all don t see me tweet on here its cause im fighting for my life,"['b', 'woke', 'up', 'with', 'high', 'fever', 'and', 'nausea', 'and', 'i', 'just', 'puked', 'if', 'y', 'all', 'don', 't', 'see', 'me', 'tweet', 'on', 'here', 'its', 'cause', 'im', 'fighting', 'for', 'my', 'life']"
21,1479442159,2023-02-11 07:25:16+00:00,"b'most common side effect seen during  mountaineer trial were diarrhea, fatigue, rash, nausea, fever&amp;reactions to tra... https://t.co/2t87a3tego'",fever,b most common side effect seen during mountaineer trial were diarrhea fatigue rash nausea fever amp reactions to tra,"['b', 'most', 'common', 'side', 'effect', 'seen', 'during', 'mountaineer', 'trial', 'were', 'diarrhea', 'fatigue', 'rash', 'nausea', 'fever', 'amp', 'reactions', 'to', 'tra']"
22,1423367229534576646,2023-02-11 06:29:00+00:00,"b'@fiinnthehumaan i experience full body tremors, high fevers, migraines, fatigue, nausea, vomiting, cold sweats, dry... https://t.co/g2n9uk6zik'",fever,b i experience full body tremors high fevers migraines fatigue nausea vomiting cold sweats dry,"['b', 'i', 'experience', 'full', 'body', 'tremors', 'high', 'fevers', 'migraines', 'fatigue', 'nausea', 'vomiting', 'cold', 'sweats', 'dry']"
23,1586238984900022274,2023-02-11 06:23:16+00:00,"b'-fever:\n\nthe pain, the nausea and vomiting can result into fever and its accompanied by headaches and delirium.\n\ny... https://t.co/febhfyvyoe'",fever,b fever n nthe pain the nausea and vomiting can result into fever and its accompanied by headaches and delirium n ny,"['b', 'fever', 'n', 'nthe', 'pain', 'the', 'nausea', 'and', 'vomiting', 'can', 'result', 'into', 'fever', 'and', 'its', 'accompanied', 'by', 'headaches', 'and', 'delirium', 'n', 'ny']"
24,1477017359152033792,2023-02-11 04:31:28+00:00,"b'-fever:\n\nthe pain, the nausea and vomiting can result into fever and its accompanied by headaches and delirium.\n\ny... https://t.co/7p2ylb4y6h'",fever,b fever n nthe pain the nausea and vomiting can result into fever and its accompanied by headaches and delirium n ny,"['b', 'fever', 'n', 'nthe', 'pain', 'the', 'nausea', 'and', 'vomiting', 'can', 'result', 'into', 'fever', 'and', 'its', 'accompanied', 'by', 'headaches', 'and', 'delirium', 'n', 'ny']"
25,304148225,2023-02-10 23:50:29+00:00,b'high fever &amp; nausea ',fever,b high fever amp nausea,"['b', 'high', 'fever', 'amp', 'nausea']"
26,1456472462221271049,2023-02-10 22:00:12+00:00,"b'i got chills, nausea, and a fever wtf. nah after taking cough medicine everything got worse. close to crashing too... https://t.co/johmqp2gvc'",fever,b i got chills nausea and a fever wtf nah after taking cough medicine everything got worse close to crashing too,"['b', 'i', 'got', 'chills', 'nausea', 'and', 'a', 'fever', 'wtf', 'nah', 'after', 'taking', 'cough', 'medicine', 'everything', 'got', 'worse', 'close', 'to', 'crashing', 'too']"
27,1487589976292343811,2023-02-10 16:59:50+00:00,"b'woke up feeling like unknown garbage. c19 test negative, no fever, just mucus and nausea and malaise. \nhad to cance... https://t.co/9icsq6dkyb'",fever,b woke up feeling like unknown garbage c19 test negative no fever just mucus and nausea and malaise nhad to cance,"['b', 'woke', 'up', 'feeling', 'like', 'unknown', 'garbage', 'c19', 'test', 'negative', 'no', 'fever', 'just', 'mucus', 'and', 'nausea', 'and', 'malaise', 'nhad', 'to', 'cance']"
28,921197448885886977,2023-02-10 14:43:05+00:00,"b'woolworths - nambour, queensland - suspected food poisoning. symptoms: diarrhea, nausea, vomiting, fever, stomach p... https://t.co/uswyvvpajt'",fever,b woolworths nambour queensland suspected food poisoning symptoms diarrhea nausea vomiting fever stomach p,"['b', 'woolworths', 'nambour', 'queensland', 'suspected', 'food', 'poisoning', 'symptoms', 'diarrhea', 'nausea', 'vomiting', 'fever', 'stomach', 'p']"
29,1390056121,2023-02-10 11:17:19+00:00,b'fast forward today my child fever is high &amp; it got nothing to do with this nausea vomiting',fever,b fast forward today my child fever is high amp it got nothing to do with this nausea vomiting,"['b', 'fast', 'forward', 'today', 'my', 'child', 'fever', 'is', 'high', 'amp', 'it', 'got', 'nothing', 'to', 'do', 'with', 'this', 'nausea', 'vomiting']"
30,1390056121,2023-02-10 11:16:27+00:00,b'sophie started her fever on wednesday &amp; the urgent care dr prescribed is a nausea medication',fever,b sophie started her fever on wednesday amp the urgent care dr prescribed is a nausea medication,"['b', 'sophie', 'started', 'her', 'fever', 'on', 'wednesday', 'amp', 'the', 'urgent', 'care', 'dr', 'prescribed', 'is', 'a', 'nausea', 'medication']"
31,1255760114423869441,2023-02-10 10:51:41+00:00,b'symptoms of appendicitis\nloss of appetite\nflatulence\nnausea vomiting\nfever\nmore information please  visit us:... https://t.co/wksniudxwz',fever,b symptoms of appendicitis nloss of appetite nflatulence nnausea vomiting nfever nmore information please visit us,"['b', 'symptoms', 'of', 'appendicitis', 'nloss', 'of', 'appetite', 'nflatulence', 'nnausea', 'vomiting', 'nfever', 'nmore', 'information', 'please', 'visit', 'us']"
32,78914170,2023-02-10 01:22:55+00:00,b'the most commonly searched conditions were \n\ndiabetes\nchest pain\nfever\nheadache\nnausea\nhigh blood pressure (hyperte... https://t.co/cncho7mda7',fever,b the most commonly searched conditions were n ndiabetes nchest pain nfever nheadache nnausea nhigh blood pressure hyperte,"['b', 'the', 'most', 'commonly', 'searched', 'conditions', 'were', 'n', 'ndiabetes', 'nchest', 'pain', 'nfever', 'nheadache', 'nnausea', 'nhigh', 'blood', 'pressure', 'hyperte']"
33,925078232722001921,2023-02-10 01:15:13+00:00,b'2 am the nausea is up my throat again bro theres no way this isnt a fever bc my limbs are in painnn and my body temperature is so weird',fever,b 2 am the nausea is up my throat again bro theres no way this isnt a fever bc my limbs are in painnn and my body temperature is so weird,"['b', '2', 'am', 'the', 'nausea', 'is', 'up', 'my', 'throat', 'again', 'bro', 'theres', 'no', 'way', 'this', 'isnt', 'a', 'fever', 'bc', 'my', 'limbs', 'are', 'in', 'painnn', 'and', 'my', 'body', 'temperature', 'is', 'so', 'weird']"
34,821557840401702912,2023-02-09 23:45:16+00:00,"b'@gatewaypundit avian flu symptoms in humans range from fever, cough, sore throat and muscle aches to nausea, abdomi... https://t.co/dzz19ac2zo'",fever,b avian flu symptoms in humans range from fever cough sore throat and muscle aches to nausea abdomi,"['b', 'avian', 'flu', 'symptoms', 'in', 'humans', 'range', 'from', 'fever', 'cough', 'sore', 'throat', 'and', 'muscle', 'aches', 'to', 'nausea', 'abdomi']"
35,19778050,2023-02-09 22:40:00+00:00,"b'people can suffer from vomiting, diarrhea, nausea, and stomach pain. some may also develop fever, headache, and bod... https://t.co/waituyt0ft'",fever,b people can suffer from vomiting diarrhea nausea and stomach pain some may also develop fever headache and bod,"['b', 'people', 'can', 'suffer', 'from', 'vomiting', 'diarrhea', 'nausea', 'and', 'stomach', 'pain', 'some', 'may', 'also', 'develop', 'fever', 'headache', 'and', 'bod']"
36,258784821,2023-02-09 22:40:00+00:00,"b'people can suffer from vomiting, diarrhea, nausea, and stomach pain. some may also develop fever, headache, and bod... https://t.co/171kzlufvq'",fever,b people can suffer from vomiting diarrhea nausea and stomach pain some may also develop fever headache and bod,"['b', 'people', 'can', 'suffer', 'from', 'vomiting', 'diarrhea', 'nausea', 'and', 'stomach', 'pain', 'some', 'may', 'also', 'develop', 'fever', 'headache', 'and', 'bod']"
37,1241457204265463808,2023-02-09 22:28:30+00:00,"b'@rubycrabtree you do need to get back in touch with them..  pain fever, chills, pressure, swelling, redness and hea... https://t.co/l3jzuhmmjw'",fever,b you do need to get back in touch with them pain fever chills pressure swelling redness and hea,"['b', 'you', 'do', 'need', 'to', 'get', 'back', 'in', 'touch', 'with', 'them', 'pain', 'fever', 'chills', 'pressure', 'swelling', 'redness', 'and', 'hea']"
38,28895742,2023-02-09 21:20:24+00:00,"b'what the fuck sort of illness randomly shows up after taking an afternoon nap and gives me nausea, fever, a headach... https://t.co/pldxl5fgfk'",fever,b what the fuck sort of illness randomly shows up after taking an afternoon nap and gives me nausea fever a headach,"['b', 'what', 'the', 'fuck', 'sort', 'of', 'illness', 'randomly', 'shows', 'up', 'after', 'taking', 'an', 'afternoon', 'nap', 'and', 'gives', 'me', 'nausea', 'fever', 'a', 'headach']"
39,1537995574326112256,2023-02-09 20:38:03+00:00,b'its not the fever but the nausea that makes this whole thing worse... https://t.co/xgxbsjmowj',fever,b its not the fever but the nausea that makes this whole thing worse,"['b', 'its', 'not', 'the', 'fever', 'but', 'the', 'nausea', 'that', 'makes', 'this', 'whole', 'thing', 'worse']"
40,383140300,2023-02-09 17:50:03+00:00,"b'physical health:\nfever, joints and muscle pain, nausea, fatigue, cold\ncure:\nkr$na'",fever,b physical health nfever joints and muscle pain nausea fatigue cold ncure nkr na,"['b', 'physical', 'health', 'nfever', 'joints', 'and', 'muscle', 'pain', 'nausea', 'fatigue', 'cold', 'ncure', 'nkr', 'na']"
41,966464426420338688,2023-02-09 17:39:33+00:00,"b'i am sickening (chills, fever, nausea, headaches) https://t.co/vpj8ulk91u'",fever,b i am sickening chills fever nausea headaches,"['b', 'i', 'am', 'sickening', 'chills', 'fever', 'nausea', 'headaches']"
42,1547716535443066880,2023-02-09 14:04:18+00:00,b'seem to have a fever today.\n\nno nausea at least but the sweating and shaking is pretty bad. throat is improving',fever,b seem to have a fever today n nno nausea at least but the sweating and shaking is pretty bad throat is improving,"['b', 'seem', 'to', 'have', 'a', 'fever', 'today', 'n', 'nno', 'nausea', 'at', 'least', 'but', 'the', 'sweating', 'and', 'shaking', 'is', 'pretty', 'bad', 'throat', 'is', 'improving']"
43,1521706762142846977,2023-02-09 10:57:42+00:00,b'diarrhea diagnosis and treatment.\n\nsymptoms:\n\nabdominal pain\nfever\nnausea\nvomiting\n\nbook an appointment today... https://t.co/eujsavuyc8',fever,b diarrhea diagnosis and treatment n nsymptoms n nabdominal pain nfever nnausea nvomiting n nbook an appointment today,"['b', 'diarrhea', 'diagnosis', 'and', 'treatment', 'n', 'nsymptoms', 'n', 'nabdominal', 'pain', 'nfever', 'nnausea', 'nvomiting', 'n', 'nbook', 'an', 'appointment', 'today']"
44,2463500425,2023-02-09 10:29:13+00:00,"b'#kidneystones associated symptoms include: nausea, vomiting, fever, blood in the urine, pus in the urine, and painful urination.'",fever,b associated symptoms include nausea vomiting fever blood in the urine pus in the urine and painful urination,"['b', 'associated', 'symptoms', 'include', 'nausea', 'vomiting', 'fever', 'blood', 'in', 'the', 'urine', 'pus', 'in', 'the', 'urine', 'and', 'painful', 'urination']"
45,402105206,2023-02-09 08:33:34+00:00,"b' body aches, fever, cough, nausea, phlegm and shivers. '",fever,b body aches fever cough nausea phlegm and shivers,"['b', 'body', 'aches', 'fever', 'cough', 'nausea', 'phlegm', 'and', 'shivers']"
46,2885668589,2023-02-09 04:52:35+00:00,"b'@xclarisuh yup its a virus going around  throwing up,diarrhea,nausea??? possible fever??'",fever,b yup its a virus going around throwing up diarrhea nausea possible fever,"['b', 'yup', 'its', 'a', 'virus', 'going', 'around', 'throwing', 'up', 'diarrhea', 'nausea', 'possible', 'fever']"
47,1644006348,2023-02-09 03:51:14+00:00,"b'@frederickleath5 @healthbyjames i did not get "" the shots."" tested positive sept 1, 2022. only 3 symptoms: fever, n... https://t.co/fsq31wqain'",fever,b i did not get the shots tested positive sept 1 2022 only 3 symptoms fever n,"['b', 'i', 'did', 'not', 'get', 'the', 'shots', 'tested', 'positive', 'sept', '1', '2022', 'only', '3', 'symptoms', 'fever', 'n']"
48,1567696195816161282,2023-02-09 01:27:30+00:00,b'early symptoms of hiv can include:\n-fever\n-chills\n-swollen lymph nodes\n-general aches and pains\n-skin rash\n-sore th... https://t.co/6gn1i6sryu',fever,b early symptoms of hiv can include n fever n chills n swollen lymph nodes n general aches and pains n skin rash n sore th,"['b', 'early', 'symptoms', 'of', 'hiv', 'can', 'include', 'n', 'fever', 'n', 'chills', 'n', 'swollen', 'lymph', 'nodes', 'n', 'general', 'aches', 'and', 'pains', 'n', 'skin', 'rash', 'n', 'sore', 'th']"
49,1556650723751763968,2023-02-08 23:06:46+00:00,b'just got done and am wait for medic transport to take me back home. already feeling the chemo fever and nausea. whi... https://t.co/ihbl828mqe',fever,b just got done and am wait for medic transport to take me back home already feeling the chemo fever and nausea whi,"['b', 'just', 'got', 'done', 'and', 'am', 'wait', 'for', 'medic', 'transport', 'to', 'take', 'me', 'back', 'home', 'already', 'feeling', 'the', 'chemo', 'fever', 'and', 'nausea', 'whi']"
50,2682726528,2023-02-08 19:24:04+00:00,"b""@steviewildcard there's a 2 day bug going around my house. sore throat, fever, and nausea. i'm sure i'm next """,fever,b there s a 2 day bug going around my house sore throat fever and nausea i m sure i m next,"['b', 'there', 's', 'a', '2', 'day', 'bug', 'going', 'around', 'my', 'house', 'sore', 'throat', 'fever', 'and', 'nausea', 'i', 'm', 'sure', 'i', 'm', 'next']"
51,3431854829,2023-02-08 19:00:59+00:00,b'the initial symptoms of low to moderate carbon monoxide (co) poisoning are similar to the flu but without the fever... https://t.co/k2ihw39f9g',fever,b the initial symptoms of low to moderate carbon monoxide co poisoning are similar to the flu but without the fever,"['b', 'the', 'initial', 'symptoms', 'of', 'low', 'to', 'moderate', 'carbon', 'monoxide', 'co', 'poisoning', 'are', 'similar', 'to', 'the', 'flu', 'but', 'without', 'the', 'fever']"
52,932841849655619585,2023-02-08 18:25:43+00:00,"b'im so confuse w/ my body. i been feeling sick on &amp; off since the weekend. but no running fevers, just body aches,... https://t.co/ewvqh7lmto'",fever,b im so confuse w my body i been feeling sick on amp off since the weekend but no running fevers just body aches,"['b', 'im', 'so', 'confuse', 'w', 'my', 'body', 'i', 'been', 'feeling', 'sick', 'on', 'amp', 'off', 'since', 'the', 'weekend', 'but', 'no', 'running', 'fevers', 'just', 'body', 'aches']"
53,1516278558456356865,2023-02-08 17:25:28+00:00,b'rt @jithinmarottik: @starhealthins @irdaindia generic back ache considered as pre existing n claims denied. tmrw any symptoms like fever an...',fever,b rt generic back ache considered as pre existing n claims denied tmrw any symptoms like fever an,"['b', 'rt', 'generic', 'back', 'ache', 'considered', 'as', 'pre', 'existing', 'n', 'claims', 'denied', 'tmrw', 'any', 'symptoms', 'like', 'fever', 'an']"
54,1383997963895152640,2023-02-08 15:49:55+00:00,"b'-fever:\n\nthe pain, the nausea and vomiting can result into fever and its accompanied by headaches and delirium.\n\ny... https://t.co/yinqhn7o0m'",fever,b fever n nthe pain the nausea and vomiting can result into fever and its accompanied by headaches and delirium n ny,"['b', 'fever', 'n', 'nthe', 'pain', 'the', 'nausea', 'and', 'vomiting', 'can', 'result', 'into', 'fever', 'and', 'its', 'accompanied', 'by', 'headaches', 'and', 'delirium', 'n', 'ny']"
55,770679093364940800,2023-02-08 15:35:22+00:00,"b'@nkaty2012 @mateboho_ml nna my withdrawal symptoms are intense.\nnausea, fever, dizziness '",fever,b ml nna my withdrawal symptoms are intense nnausea fever dizziness,"['b', 'ml', 'nna', 'my', 'withdrawal', 'symptoms', 'are', 'intense', 'nnausea', 'fever', 'dizziness']"
56,1457172481568038913,2023-02-08 15:30:37+00:00,"b'a bit more about the virus:\n\nsymptoms included fever, headache, jaundice (yellowing of skin &amp; eyes), muscle pain, n... https://t.co/y45fmd6r3y'",fever,b a bit more about the virus n nsymptoms included fever headache jaundice yellowing of skin amp eyes muscle pain n,"['b', 'a', 'bit', 'more', 'about', 'the', 'virus', 'n', 'nsymptoms', 'included', 'fever', 'headache', 'jaundice', 'yellowing', 'of', 'skin', 'amp', 'eyes', 'muscle', 'pain', 'n']"
57,1501586491671252993,2023-02-08 14:53:22+00:00,"b'symptoms can include stomach cramps, bloating, nausea, and fever. \n\ntreatment options include drinking plenty of fl... https://t.co/madojub48w'",fever,b symptoms can include stomach cramps bloating nausea and fever n ntreatment options include drinking plenty of fl,"['b', 'symptoms', 'can', 'include', 'stomach', 'cramps', 'bloating', 'nausea', 'and', 'fever', 'n', 'ntreatment', 'options', 'include', 'drinking', 'plenty', 'of', 'fl']"
58,1042434908130607106,2023-02-08 09:52:58+00:00,"b'a patient is accompanied by his friend to the clinic on account of headache, ""fever"" &amp; nausea. he is seen by the dr... https://t.co/c8axokxr17'",fever,b a patient is accompanied by his friend to the clinic on account of headache fever amp nausea he is seen by the dr,"['b', 'a', 'patient', 'is', 'accompanied', 'by', 'his', 'friend', 'to', 'the', 'clinic', 'on', 'account', 'of', 'headache', 'fever', 'amp', 'nausea', 'he', 'is', 'seen', 'by', 'the', 'dr']"
59,1505508647362826240,2023-02-08 07:30:20+00:00,b'@partohthegreat persistent headache\nfevers\nchills\njoint pains \ngbw\nnausea \netc',fever,b persistent headache nfevers nchills njoint pains ngbw nnausea netc,"['b', 'persistent', 'headache', 'nfevers', 'nchills', 'njoint', 'pains', 'ngbw', 'nnausea', 'netc']"
60,1593738274157334533,2023-02-08 05:01:14+00:00,"b'@piper4missouri a friend of mine over 65 recently experienced extreme nausea, dizziness, &amp; fever. after hours sitti... https://t.co/26lz3l7ryb'",fever,b a friend of mine over 65 recently experienced extreme nausea dizziness amp fever after hours sitti,"['b', 'a', 'friend', 'of', 'mine', 'over', '65', 'recently', 'experienced', 'extreme', 'nausea', 'dizziness', 'amp', 'fever', 'after', 'hours', 'sitti']"
61,917738500669054977,2023-02-08 04:58:58+00:00,"b'pergi kerja feeling feverish, having dysmenorrhoea and nausea. took painkiller, relieved a bit and for awhile, want... https://t.co/psjpzg4d6a'",fever,b pergi kerja feeling feverish having dysmenorrhoea and nausea took painkiller relieved a bit and for awhile want,"['b', 'pergi', 'kerja', 'feeling', 'feverish', 'having', 'dysmenorrhoea', 'and', 'nausea', 'took', 'painkiller', 'relieved', 'a', 'bit', 'and', 'for', 'awhile', 'want']"
62,750763772,2023-02-08 00:50:37+00:00,"b'@abc products distributed in conn., dc, maryland, mass., nj, ny, nc, penn., sc., va.\n\nsymptoms:  high fever, severe... https://t.co/1ejiueilse'",fever,b products distributed in conn dc maryland mass nj ny nc penn sc va n nsymptoms high fever severe,"['b', 'products', 'distributed', 'in', 'conn', 'dc', 'maryland', 'mass', 'nj', 'ny', 'nc', 'penn', 'sc', 'va', 'n', 'nsymptoms', 'high', 'fever', 'severe']"
63,1582533632991838209,2023-02-07 23:10:56+00:00,"b'@jfrechmann @tonysandersu46 @awake_il the child is obviously ill to the point of having a fever and nausea, why wou... https://t.co/vgkobfyzym'",fever,b il the child is obviously ill to the point of having a fever and nausea why wou,"['b', 'il', 'the', 'child', 'is', 'obviously', 'ill', 'to', 'the', 'point', 'of', 'having', 'a', 'fever', 'and', 'nausea', 'why', 'wou']"
64,1586140742669451264,2023-02-07 21:39:30+00:00,"b'@healthbyjames had it in oct of 21 while in st lucia. quarantined at the resort 10 days, felt like death w/fever,... https://t.co/b2geoixjdn'",fever,b had it in oct of 21 while in st lucia quarantined at the resort 10 days felt like death w fever,"['b', 'had', 'it', 'in', 'oct', 'of', '21', 'while', 'in', 'st', 'lucia', 'quarantined', 'at', 'the', 'resort', '10', 'days', 'felt', 'like', 'death', 'w', 'fever']"
