,Tweet,Flag,Tags
53,b'RT @EBBahboh: How to \xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9c\xe0\xb8\xaa\xe0\xb8\xa1 Skincare \xe0\xb9\x81\xe0\xb8\x9a\xe0\xb8\x9a Basic \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\n\xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\x94\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/IvnRIZjVLv',1,Skincare
56,b'Baru saja mengirim foto @ DrW Skincare Stokis &amp; Rumah Facial Swan https://t.co/cWeeh3GFXl',1,Skincare
57,b'RT @EBBahboh: How to \xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9c\xe0\xb8\xaa\xe0\xb8\xa1 Skincare \xe0\xb9\x81\xe0\xb8\x9a\xe0\xb8\x9a Basic \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\n\xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\x94\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/IvnRIZjVLv',1,Skincare
62,b'RT @EBBahboh: How to \xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9c\xe0\xb8\xaa\xe0\xb8\xa1 Skincare \xe0\xb9\x81\xe0\xb8\x9a\xe0\xb8\x9a Basic \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\n\xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\x94\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/IvnRIZjVLv',1,Skincare
66,b'@ketumina And skincare. She said so the 1st day',1,skincare
68,b'Natural Looks for you\n\nGet natural beauty at parlor\n\n#beauty #skincare #skincare #beautybusiness #beautycare\xe2\x80\xa6 https://t.co/0TvOgQRNyd',1,skincare
71,b'@MrDoublefinger Ansiedad y skincare gratis',1,skincare
73,"b""miss the days where I didn't have any skincare routine just used facewash and air wuduk my skin was sm clearer than\xe2\x80\xa6 https://t.co/jHLrZALcZd""",1,skincare
74,b'RT @EBBahboh: How to \xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9c\xe0\xb8\xaa\xe0\xb8\xa1 Skincare \xe0\xb9\x81\xe0\xb8\x9a\xe0\xb8\x9a Basic \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\n\xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\x94\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/IvnRIZjVLv',1,Skincare
76,"b'RT @dashosunaa_: amo maquillarme, amo arreglar mi cabello, amo hacerme las u\xc3\xb1itas, amo hacerme skincare'",1,skincare
79,b'RT @EBBahboh: How to \xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9c\xe0\xb8\xaa\xe0\xb8\xa1 Skincare \xe0\xb9\x81\xe0\xb8\x9a\xe0\xb8\x9a Basic \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\n\xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\x94\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/IvnRIZjVLv',1,Skincare
80,b'Splenda Diabetes Care Shakes|Morning\xc2\xa0Blend https://t.co/aHvmt8LXvi',1,Diabetes
81,b'RT @txtorangthread: vitamin c serum for daily routine skincare\n\n- a thread - https://t.co/Ac92CgUFwQ',1,skincare
84,b'RT @DiabetesUK: Do you know the 4Ts of #T1Diabetes? They are:\n\n\xf0\x9f\x9a\xbd Toilet (needing a wee more)\n\xf0\x9f\x92\xa6 Thirsty\n\xf0\x9f\x98\xb4 Tired\n\xe2\xac\x87\xef\xb8\x8f Thinner\n\nIf you\xe2\x80\x99re alread\xe2\x80\xa6',1,Diabetes
85,b'RT @JuliAdinolfi: pasa la rutina de skincare gordo mira esa piel',1,skincare
86,"b'RT @VICTORSILVES63: LA DIABETES Y LOS F\xc3\x81RMACOS : \nLa diabetes no es una enfermedad cr\xc3\xb3nica, los f\xc3\xa1rmacos la convierten en cr\xc3\xb3nica.\nLa diabe\xe2\x80\xa6'",1,DIABETES
87,"b'@DirectriceN Ce jus is good pour : le sugar diabetes, the joints ( articulations). Combat Les rheumatism, good for\xe2\x80\xa6 https://t.co/x8UT6NhUtV'",1,diabetes
93,"b""RT @gemmasbeadery: urgent : trans woman needs insulin!  \nY'all I have type 1 Diabetes and my student health insurance plan just changed. Th\xe2\x80\xa6""",1,Diabetes
94,"b'@Patri27102022 che nausea la risata da troia alcolizzata,col suo protettore'",1,nausea
96,b'RT @JuliAdinolfi: pasa la rutina de skincare gordo mira esa piel',1,skincare
97,b'RT @EBBahboh: How to \xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9c\xe0\xb8\xaa\xe0\xb8\xa1 Skincare \xe0\xb9\x81\xe0\xb8\x9a\xe0\xb8\x9a Basic \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\n\xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\x94\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/IvnRIZjVLv',1,Skincare
98,b'RT @zalaly: The latest from our team in @TheLancetEndo\n\nWe know that SARS-CoV-2 infection may lead to metabolic disturbances including incr\xe2\x80\xa6',1,SARS
99,b'RT @korysstorm: it\xe2\x80\x99s crazy how you can have a skincare routine down while someone else is acne free just from water &amp; body wash on the face',1,skincare
103,b'Mending beli baju apa skincare ya',1,skincare
104,b'RT @EBBahboh: How to \xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9c\xe0\xb8\xaa\xe0\xb8\xa1 Skincare \xe0\xb9\x81\xe0\xb8\x9a\xe0\xb8\x9a Basic \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\n\xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\x94\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/IvnRIZjVLv',1,Skincare
106,b'RT @zalaly: The latest from our team in @TheLancetEndo\n\nWe know that SARS-CoV-2 infection may lead to metabolic disturbances including incr\xe2\x80\xa6',1,SARS
108,b'RT @bloomidda: Giveaway 1 paket skincare untuk 1 orang pemenang \xf0\x9f\x8e\x8a\n\nSyarat :\n1. Follow twitter @bloomidda dan https://t.co/NpN8LSFEQx\n2. RT+\xe2\x80\xa6',1,skincare
110,"b""RT @Kpop_Herald: Cha Eun-woo of @offclASTRO has been named the new face of @Dior Beauty's Capture Totale anti-aging skincare line. The bran\xe2\x80\xa6""",1,skincare
111,b'Migraine (aura without the headaches) is another sign.. If anyone knows of any ways to manage the weakness associat\xe2\x80\xa6 https://t.co/XxXg4LvvNI',1,headaches
114,b'RT @korysstorm: it\xe2\x80\x99s crazy how you can have a skincare routine down while someone else is acne free just from water &amp; body wash on the face',1,skincare
115,b'Hump day got you down? \n\nRevitalise your skin with our OROMA Body Wash! \xf0\x9f\x8d\x8a\n\nThe perfect addition to your skincare ro\xe2\x80\xa6 https://t.co/yOsoQ7RSjS',1,skincare
117,"b'\xe2\x80\xa2 Menggunakan obat oles kortikosteroid, seperti hidrokortison atau fluocinolone\n\xe2\x80\xa2 Memiliki kondisi medis tertentu,\xe2\x80\xa6 https://t.co/6MQ0wAureB'",1,flu
120,"b'RT @realJaredGilman: rhinoplasty, eye enlargement, quil shave, botox, cheek filler, facial bone surgery, gastric bypass surgery, face lift,\xe2\x80\xa6'",1,surgery
121,"b'RT @adamfare1996: The human body is amazing, but making hunger and nausea so similar that you sometimes can\xe2\x80\x99t tell the difference is a mass\xe2\x80\xa6'",1,nausea
123,b'RT @DiabetesUK: Do you know the 4Ts of #T1Diabetes? They are:\n\n\xf0\x9f\x9a\xbd Toilet (needing a wee more)\n\xf0\x9f\x92\xa6 Thirsty\n\xf0\x9f\x98\xb4 Tired\n\xe2\xac\x87\xef\xb8\x8f Thinner\n\nIf you\xe2\x80\x99re alread\xe2\x80\xa6',1,Diabetes
124,b'RT @diabrarian: Diabetes makes literally everything more complicated and more difficult and I\xe2\x80\x99m just so tired.',1,Diabetes
126,b'RT @txtorangthread: vitamin c serum for daily routine skincare\n\n- a thread - https://t.co/Ac92CgUFwQ',1,skincare
130,"b""RT @Kpop_Herald: Cha Eun-woo of @offclASTRO has been named the new face of @Dior Beauty's Capture Totale anti-aging skincare line. The bran\xe2\x80\xa6""",1,skincare
132,"b""RT @GeneticsUnzip: You'll have heard of insulin and diabetes.\nBut the same insulin is a growth factor that controls weight.\n\n@rmfreathy @Ex\xe2\x80\xa6""",1,diabetes
133,b'RT @EBBahboh: How to \xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9c\xe0\xb8\xaa\xe0\xb8\xa1 Skincare \xe0\xb9\x81\xe0\xb8\x9a\xe0\xb8\x9a Basic \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\n\xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\x94\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/IvnRIZjVLv',1,Skincare
135,"b'RT @DrEmmaBeckett: And people with diabetes can eat pasta if they want to, but it might require different balance, management and considera\xe2\x80\xa6'",1,diabetes
137,b'RT @skincare_media: \xef\xbc\x8f\n\xe6\x96\xb0\xe6\x98\xa5\xe3\x81\x8a\xe5\xb9\xb4\xe7\x8e\x89 #\xe3\x82\xad\xe3\x83\xa3\xe3\x83\xb3\xe3\x83\x9a\xe3\x83\xbc\xe3\x83\xb3\xf0\x9f\x8e\x89\n\xef\xbc\xbc\n\n\xe3\x83\x95\xe3\x82\xa9\xe3\x83\xad\xe3\x83\xbc&amp;\xe3\x83\xaa\xe3\x83\x84\xe3\x82\xa4\xe3\x83\xbc\xe3\x83\x88\xe3\x81\xa7\n\xe3\x81\x9f\xe3\x81\x91\xe3\x81\xae\xe3\x81\x93\xe3\x81\xae\xe9\x87\x8c \xe5\xb0\x8f\xe8\xa2\x8b23\xe8\xa2\x8b\xe3\x82\x92\xe3\x83\x97\xe3\x83\xac\xe3\x82\xbc\xe3\x83\xb3\xe3\x83\x88\xf0\x9f\x8e\x81\n\n\xe3\x80\x90\xe5\xbf\x9c\xe5\x8b\x9f\xe6\x96\xb9\xe6\xb3\x95\xe3\x80\x91\n\xe2\x91\xa0@skincare_media \xe3\x82\x92\xe3\x83\x95\xe3\x82\xa9\xe3\x83\xad\xe3\x83\xbc\n\xe2\x91\xa1\xe3\x81\x93\xe3\x81\xae\xe6\x8a\x95\xe7\xa8\xbf\xe3\x82\x92RT\n\n1/17(\xe7\x81\xab)\xe3\x81\xbe\xe3\x81\xa7\xe6\xaf\x8e\xe6\x97\xa5\xe5\x8f\x82\xe5\x8a\xa0\xe3\x81\xa7\xe3\x81\x8d\xe3\x81\xbe\xe3\x81\x99\xe2\x9c\xa8 https:/\xe2\x80\xa6',1,skincare
138,"b'@ohmybeautybank Offline online store, produk skincare sama make up nya ori dari berbagai merek lokal sama luar, ada\xe2\x80\xa6 https://t.co/GxV8m5iXUr'",1,skincare
139,"b'yo no quiero salir de fiesta, quiero hacerte un skincare'",1,skincare
144,b'RT @EBBahboh: How to \xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xaa\xe0\xb9\x88\xe0\xb8\xa7\xe0\xb8\x99\xe0\xb8\x9c\xe0\xb8\xaa\xe0\xb8\xa1 Skincare \xe0\xb9\x81\xe0\xb8\x9a\xe0\xb8\x9a Basic \xe0\xb8\x97\xe0\xb8\xb5\xe0\xb9\x88\xe0\xb8\x97\xe0\xb8\xb8\xe0\xb8\x81\xe0\xb8\x84\xe0\xb8\x99\xe0\xb9\x83\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\n\xe0\xb8\xad\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\x95\xe0\xb9\x88\xe0\xb8\xad\xe0\xb9\x83\xe0\xb8\x99\xe0\xb9\x80\xe0\xb8\x98\xe0\xb8\xa3\xe0\xb8\x94\xe0\xb9\x84\xe0\xb8\x94\xe0\xb9\x89\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb8\xa2 \xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb https://t.co/IvnRIZjVLv',1,Skincare
147,"b'I kinda find it funny how my ""beT friend"" ended our friendship over a fight because I might have diabetes'",1,diabetes
148,"b""RT @Kpop_Herald: Cha Eun-woo of @offclASTRO has been named the new face of @Dior Beauty's Capture Totale anti-aging skincare line. The bran\xe2\x80\xa6""",1,skincare
151,"b'jm yuk angkut skincare underpricenya, new dan original \xf0\x9f\xa4\xa9 via shopee dan tokped, link di rep https://t.co/21PwQUlxQk'",1,skincare
152,b'WHITENING BODY SERUM\n#UMEBeauty #UandMeBeauty #ThePerfectSkinSolutionForYouandMe #Skincare #BestSkincareIndonesia\xe2\x80\xa6 https://t.co/DQkLk7Z15i',1,Skincare
154,b'RT @korysstorm: it\xe2\x80\x99s crazy how you can have a skincare routine down while someone else is acne free just from water &amp; body wash on the face',1,skincare
155,b'RT @BTianah: Why chase when I\xe2\x80\x99m the catch \n..\nSkincare @btbeautyuganda \nShot #akaysphotography \n#fashion #beauty #londonphotography #street\xe2\x80\xa6',1,Skincare
